id_transakcji,id_klienta,data_transakcji,metoda_platnosci,status
T00000067,K000282,2023-01-01,PayPal,Zrealizowane
T00000068,K000570,2023-01-01,Karta kredytowa,Zrealizowane
T00000069,K000785,2023-01-01,Przelew bankowy,Zrealizowane
T00000070,K000565,2023-01-01,BLIK,Zrealizowane
T00000071,K000206,2023-01-01,PayPal,Zrealizowane
T00000072,K000005,2023-01-01,PayPal,W trakcie realizacji
T00000073,K000835,2023-01-01,PayPal,Zrealizowane
T00000074,K000619,2023-01-01,PayPal,Zrealizowane
T00000075,K000243,2023-01-01,Płatność przy odbiorze,Zrealizowane
T00000076,K000148,2023-01-01,Karta kredytowa,W trakcie realizacji
T00000077,K000691,2023-01-01,Karta kredytowa,Zrealizowane
T00000078,K000686,2023-01-01,Płatność przy odbiorze,Zrealizowane
T00000079,K000975,2023-01-01,PayPal,Zrealizowane
T00000080,K000323,2023-01-01,PayPal,Zrealizowane
T00000081,K000387,2023-01-01,Przelew bankowy,Zrealizowane
T00000082,K000919,2023-01-01,Przelew bankowy,Zrealizowane
T00000083,K000393,2023-01-01,PayPal,Zrealizowane
T00000084,K000651,2023-01-01,PayPal,W trakcie realizacji
T00000085,K000687,2023-01-01,PayPal,Zrealizowane
T00000086,K000765,2023-01-01,Przelew bankowy,Zrealizowane
T00000087,K000945,2023-01-01,BLIK,Zrealizowane
T00000088,K000250,2023-01-01,Karta kredytowa,Zrealizowane
T00000089,K000428,2023-01-01,Karta kredytowa,Zrealizowane
T00000090,K000369,2023-01-01,Karta kredytowa,Zrealizowane
T00000091,K000909,2023-01-01,PayPal,Zrealizowane
T00000092,K000648,2023-01-01,Karta kredytowa,Zrealizowane
T00000093,K000447,2023-01-01,Karta kredytowa,Zrealizowane
T00000094,K000022,2023-01-01,Karta kredytowa,Zrealizowane
T00000095,K000550,2023-01-01,BLIK,Zrealizowane
T00000096,K000539,2023-01-01,PayPal,Zrealizowane
T00000097,K000282,2023-01-01,Karta kredytowa,Zrealizowane
T00000098,K000279,2023-01-01,PayPal,Zrealizowane
T00000099,K000120,2023-01-01,Karta kredytowa,Zrealizowane
T00000100,K000253,2023-01-01,Karta kredytowa,Anulowane
T00000101,K000871,2023-01-01,Przelew bankowy,Zrealizowane
T00000102,K000991,2023-01-01,Przelew bankowy,Zrealizowane
T00000103,K000477,2023-01-01,Przelew bankowy,Zrealizowane
T00000104,K000065,2023-01-01,PayPal,Zrealizowane
T00000105,K000586,2023-01-01,Karta kredytowa,Zrealizowane
T00000106,K000303,2023-01-01,BLIK,Zrealizowane
T00000107,K000317,2023-01-01,Karta kredytowa,Zrealizowane
T00000108,K000174,2023-01-01,Przelew bankowy,Zrealizowane
T00000109,K000900,2023-01-01,BLIK,Zrealizowane
T00000110,K000415,2023-01-01,Karta kredytowa,Anulowane
T00000111,K000260,2023-01-01,Karta kredytowa,Zrealizowane
T00000112,K000285,2023-01-01,PayPal,Zrealizowane
T00000113,K000073,2023-01-01,Karta kredytowa,Zrealizowane
T00000114,K000079,2023-01-01,BLIK,W trakcie realizacji
T00000115,K000044,2023-01-01,Karta kredytowa,Zrealizowane
T00000116,K000745,2023-01-01,Karta kredytowa,Zrealizowane
T00000117,K000003,2023-01-01,BLIK,Zrealizowane
T00000118,K000443,2023-01-01,Karta kredytowa,Zrealizowane
T00000119,K000079,2023-01-01,BLIK,Zrealizowane
T00000120,K000377,2023-01-01,Karta kredytowa,Zrealizowane
T00000121,K000693,2023-01-01,BLIK,Zrealizowane
T00000122,K000139,2023-01-01,Karta kredytowa,Zrealizowane
T00000123,K000902,2023-01-01,Karta kredytowa,Zrealizowane
T00000124,K000815,2023-01-01,PayPal,Zrealizowane
T00000125,K000007,2023-01-01,Karta kredytowa,Anulowane
T00000126,K000883,2023-01-01,Karta kredytowa,Zrealizowane
T00000127,K000878,2023-01-01,Karta kredytowa,Zrealizowane
T00000128,K000836,2023-01-01,Przelew bankowy,Zrealizowane
T00000129,K000725,2023-01-01,BLIK,Zrealizowane
T00000130,K000513,2023-01-01,BLIK,Zrealizowane
T00000131,K000696,2023-01-01,Przelew bankowy,Zrealizowane
T00000132,K000763,2023-01-01,Karta kredytowa,Zrealizowane
T00000133,K000727,2023-01-01,PayPal,Zrealizowane
T00000134,K000077,2023-01-01,Karta kredytowa,Zrealizowane
T00000135,K000043,2023-01-01,Karta kredytowa,Zrealizowane
T00000136,K000924,2023-01-01,Przelew bankowy,Zrealizowane
T00000137,K000157,2023-01-01,Przelew bankowy,Zrealizowane
T00000138,K000530,2023-01-01,BLIK,Zrealizowane
T00000139,K000855,2023-01-01,BLIK,Zrealizowane
T00000140,K000220,2023-01-01,PayPal,Zrealizowane
T00000141,K000585,2023-01-01,Płatność przy odbiorze,Zrealizowane
T00000142,K000190,2023-01-01,PayPal,Zrealizowane
T00000143,K000875,2023-01-01,BLIK,Zrealizowane
T00000144,K000262,2023-01-01,Karta kredytowa,Zrealizowane
T00000145,K000144,2023-01-01,Karta kredytowa,Zrealizowane
T00000146,K000485,2023-01-01,PayPal,W trakcie realizacji
T00000147,K000641,2023-01-01,Karta kredytowa,Zrealizowane
T00000148,K000278,2023-01-01,Karta kredytowa,Zrealizowane
T00000149,K000814,2023-01-01,Karta kredytowa,Zrealizowane
T00000150,K000702,2023-01-01,Przelew bankowy,Zrealizowane
T00000151,K000663,2023-01-01,BLIK,Zrealizowane
T00000152,K000917,2023-01-01,Karta kredytowa,Zrealizowane
T00000153,K000307,2023-01-01,Płatność przy odbiorze,Zrealizowane
T00000154,K000896,2023-01-01,BLIK,Zrealizowane
T00000155,K000607,2023-01-01,Karta kredytowa,Zrealizowane
T00000156,K000550,2023-01-01,PayPal,Zrealizowane
T00000157,K000156,2023-01-01,Płatność przy odbiorze,Zrealizowane
T00000158,K000300,2023-01-01,BLIK,Zrealizowane
T00000159,K000347,2023-01-01,Karta kredytowa,Zwrócone
T00000160,K000423,2023-01-01,Karta kredytowa,Zrealizowane
T00000161,K000426,2023-01-01,BLIK,Anulowane
T00000162,K000042,2023-01-01,PayPal,Zrealizowane
T00000163,K000316,2023-01-01,Karta kredytowa,Zwrócone
T00000164,K000638,2023-01-01,Karta kredytowa,Zrealizowane
T00000165,K000825,2023-01-01,PayPal,Zrealizowane
T00000166,K000077,2023-01-01,Karta kredytowa,W trakcie realizacji
T00000167,K000096,2023-01-01,PayPal,Zrealizowane
T00000168,K000263,2023-01-01,Przelew bankowy,Zrealizowane
T00000169,K000819,2023-01-01,Karta kredytowa,Zrealizowane
T00000170,K000737,2023-01-01,Karta kredytowa,Zrealizowane
T00000171,K000623,2023-01-01,BLIK,Zrealizowane
T00000172,K000750,2023-01-01,Przelew bankowy,Zrealizowane
T00000173,K000205,2023-01-01,Przelew bankowy,Zrealizowane
T00000174,K000288,2023-01-01,PayPal,Zrealizowane
T00000175,K000263,2023-01-01,Karta kredytowa,Zrealizowane
T00000176,K000588,2023-01-01,PayPal,Zwrócone
T00000177,K000936,2023-01-01,Przelew bankowy,W trakcie realizacji
T00000178,K000655,2023-01-01,Karta kredytowa,Zrealizowane
T00000179,K000315,2023-01-01,Karta kredytowa,Zrealizowane
T00000180,K000369,2023-01-01,PayPal,Zrealizowane
T00000181,K000597,2023-01-01,PayPal,Zrealizowane
T00000182,K000908,2023-01-01,Płatność przy odbiorze,W trakcie realizacji
T00000183,K000252,2023-01-01,Karta kredytowa,Zrealizowane
T00000184,K000333,2023-01-01,Karta kredytowa,Zrealizowane
T00000185,K000744,2023-01-01,BLIK,Anulowane
T00000186,K000426,2023-01-01,PayPal,Zrealizowane
T00000187,K000295,2023-01-01,PayPal,Zrealizowane
T00000188,K000831,2023-01-01,Przelew bankowy,Zrealizowane
T00000189,K000642,2023-01-01,Karta kredytowa,Zrealizowane
T00000190,K000285,2023-01-01,BLIK,Zrealizowane
T00000191,K000317,2023-01-01,Karta kredytowa,Zrealizowane
T00000192,K000512,2023-01-01,Karta kredytowa,Zrealizowane
T00000193,K000029,2023-01-01,Karta kredytowa,Zrealizowane
T00000194,K000740,2023-01-01,Przelew bankowy,Zrealizowane
T00000195,K000294,2023-01-01,Karta kredytowa,Zrealizowane
T00000196,K000007,2023-01-01,Karta kredytowa,Zrealizowane
T00000197,K000542,2023-01-01,Karta kredytowa,Zrealizowane
T00000198,K000215,2023-01-01,Karta kredytowa,Zrealizowane
T00000199,K000627,2023-01-01,Karta kredytowa,Zrealizowane
T00000200,K000988,2023-01-01,Karta kredytowa,Zrealizowane
T00000201,K000952,2023-01-01,Karta kredytowa,Zrealizowane
T00000202,K000215,2023-01-01,Karta kredytowa,Zrealizowane
T00000203,K000164,2023-01-01,PayPal,Anulowane
T00000204,K000170,2023-01-01,Przelew bankowy,Zrealizowane
T00000205,K000221,2023-01-01,Karta kredytowa,Zrealizowane
T00000206,K000260,2023-01-01,PayPal,Zrealizowane
T00000207,K000724,2023-01-01,BLIK,Zrealizowane
T00000208,K000261,2023-01-01,Płatność przy odbiorze,Zrealizowane
T00000209,K000814,2023-01-01,PayPal,Zrealizowane
T00000210,K000843,2023-01-01,PayPal,Zrealizowane
T00000211,K000642,2023-01-01,PayPal,Zrealizowane
T00000212,K000617,2023-01-01,PayPal,Zwrócone
T00000213,K000566,2023-01-01,Karta kredytowa,Zrealizowane
T00000214,K000620,2023-01-01,PayPal,Zrealizowane
T00000215,K000472,2023-01-01,Płatność przy odbiorze,Zrealizowane
T00000216,K000827,2023-01-01,PayPal,Zrealizowane
T00000217,K000801,2023-01-01,Karta kredytowa,Zrealizowane
T00000218,K000255,2023-01-01,BLIK,Anulowane
T00000219,K000278,2023-01-01,Karta kredytowa,W trakcie realizacji
T00000220,K000559,2023-01-01,Karta kredytowa,Zrealizowane
T00000221,K000646,2023-01-01,PayPal,Zrealizowane
T00000222,K000024,2023-01-01,PayPal,Zrealizowane
T00000223,K000989,2023-01-01,Karta kredytowa,Zrealizowane
T00000224,K000433,2023-01-01,PayPal,Zrealizowane
T00000225,K000992,2023-01-01,Karta kredytowa,Zrealizowane
T00000226,K000629,2023-01-01,Przelew bankowy,Zrealizowane
T00000227,K000751,2023-01-01,Karta kredytowa,Zrealizowane
T00000228,K000478,2023-01-01,Przelew bankowy,Zrealizowane
T00000229,K000494,2023-01-01,Karta kredytowa,W trakcie realizacji
T00000230,K000382,2023-01-01,Karta kredytowa,Zrealizowane
T00000231,K000819,2023-01-01,Karta kredytowa,Zrealizowane
T00000232,K000374,2023-01-01,Płatność przy odbiorze,Zrealizowane
T00000233,K000553,2023-01-01,PayPal,Anulowane
T00000234,K000762,2023-01-01,Przelew bankowy,Zrealizowane
T00000235,K000323,2023-01-01,PayPal,Zrealizowane
T00000236,K000089,2023-01-01,Płatność przy odbiorze,Zrealizowane
T00000237,K000092,2023-01-01,Karta kredytowa,Zrealizowane
T00000238,K000377,2023-01-01,PayPal,Zrealizowane
T00000239,K000975,2023-01-01,Przelew bankowy,W trakcie realizacji
T00000240,K000081,2023-01-01,PayPal,Zrealizowane
T00000241,K000642,2023-01-01,BLIK,Zrealizowane
T00000242,K000603,2023-01-01,PayPal,Zrealizowane
T00000243,K000100,2023-01-01,BLIK,Zrealizowane
T00000244,K000590,2023-01-01,Karta kredytowa,Zrealizowane
T00000245,K000555,2023-01-01,Karta kredytowa,Zrealizowane
T00000246,K000123,2023-01-01,PayPal,Anulowane
T00000247,K000800,2023-01-01,BLIK,Zrealizowane
T00000248,K000396,2023-01-01,PayPal,Anulowane
T00000249,K000023,2023-01-01,PayPal,Zrealizowane
T00000250,K000656,2023-01-01,Karta kredytowa,Zrealizowane
T00000251,K000940,2023-01-01,BLIK,Zrealizowane
T00000252,K000770,2023-01-01,Karta kredytowa,Zrealizowane
T00000253,K000519,2023-01-01,PayPal,Zrealizowane
T00000254,K000277,2023-01-01,PayPal,Zrealizowane
T00000255,K000698,2023-01-01,PayPal,Anulowane
T00000256,K000095,2023-01-01,Przelew bankowy,Zrealizowane
T00000257,K000919,2023-01-01,Karta kredytowa,Anulowane
T00000258,K000382,2023-01-01,BLIK,Zrealizowane
T00000259,K000956,2023-01-01,Karta kredytowa,Zrealizowane
T00000260,K000377,2023-01-01,Przelew bankowy,Zrealizowane
T00000261,K000025,2023-01-01,Karta kredytowa,Zrealizowane
T00000262,K000291,2023-01-01,Karta kredytowa,Zrealizowane
T00000263,K000227,2023-01-01,Karta kredytowa,Zrealizowane
T00000264,K000173,2023-01-01,Przelew bankowy,Zrealizowane
T00000265,K000647,2023-01-01,Przelew bankowy,Zrealizowane
T00000266,K000453,2023-01-01,PayPal,Zrealizowane
T00000267,K000288,2023-01-01,BLIK,Zrealizowane
T00000268,K000821,2023-01-01,PayPal,Zrealizowane
T00000269,K000069,2023-01-01,Karta kredytowa,Zrealizowane
T00000270,K000281,2023-01-01,Karta kredytowa,Zrealizowane
T00000271,K000863,2023-01-01,Karta kredytowa,Zrealizowane
T00000272,K000980,2023-01-01,Karta kredytowa,W trakcie realizacji
T00000273,K000342,2023-01-01,Karta kredytowa,Zwrócone
T00000274,K000870,2023-01-01,PayPal,Zrealizowane
T00000275,K000333,2023-01-02,BLIK,Anulowane
T00000276,K000743,2023-01-02,PayPal,Zrealizowane
T00000277,K000386,2023-01-02,PayPal,Zrealizowane
T00000278,K000342,2023-01-02,Karta kredytowa,Zrealizowane
T00000279,K000317,2023-01-02,Karta kredytowa,Zrealizowane
T00000280,K000905,2023-01-02,Karta kredytowa,Zrealizowane
T00000281,K000307,2023-01-02,PayPal,Zrealizowane
T00000282,K000770,2023-01-02,PayPal,Zrealizowane
T00000283,K000173,2023-01-02,Karta kredytowa,Zrealizowane
T00000284,K000544,2023-01-02,Karta kredytowa,Zrealizowane
T00000285,K000200,2023-01-02,PayPal,Zrealizowane
T00000286,K000592,2023-01-02,Przelew bankowy,Zrealizowane
T00000287,K000865,2023-01-02,Karta kredytowa,Zrealizowane
T00000288,K000075,2023-01-02,Karta kredytowa,Zrealizowane
T00000289,K000928,2023-01-02,Przelew bankowy,Zrealizowane
T00000290,K000776,2023-01-02,PayPal,Zrealizowane
T00000291,K000992,2023-01-02,BLIK,Anulowane
T00000292,K000597,2023-01-02,Karta kredytowa,Zrealizowane
T00000293,K000217,2023-01-02,Przelew bankowy,Zrealizowane
T00000294,K000633,2023-01-02,Karta kredytowa,Zrealizowane
T00000295,K000532,2023-01-02,PayPal,Zrealizowane
T00000296,K000449,2023-01-02,Karta kredytowa,Zrealizowane
T00000297,K000661,2023-01-02,Karta kredytowa,Zrealizowane
T00000298,K000007,2023-01-02,PayPal,Zrealizowane
T00000299,K000889,2023-01-02,PayPal,Zrealizowane
T00000300,K000890,2023-01-02,PayPal,Zrealizowane
T00000301,K000985,2023-01-02,PayPal,Zrealizowane
T00000302,K000393,2023-01-02,Karta kredytowa,Zrealizowane
T00000303,K000598,2023-01-02,PayPal,Zrealizowane
T00000304,K000386,2023-01-02,Karta kredytowa,Zrealizowane
T00000305,K000501,2023-01-02,Przelew bankowy,W trakcie realizacji
T00000306,K000147,2023-01-02,PayPal,Zrealizowane
T00000307,K000316,2023-01-02,PayPal,Zrealizowane
T00000308,K000454,2023-01-02,Karta kredytowa,Zrealizowane
T00000309,K000187,2023-01-02,Karta kredytowa,Zwrócone
T00000310,K000325,2023-01-02,Karta kredytowa,Zrealizowane
T00000311,K000813,2023-01-02,Karta kredytowa,Zrealizowane
T00000312,K000318,2023-01-02,Płatność przy odbiorze,W trakcie realizacji
T00000313,K000394,2023-01-02,BLIK,Zrealizowane
T00000314,K000379,2023-01-02,PayPal,Zrealizowane
T00000315,K000705,2023-01-02,Karta kredytowa,Zrealizowane
T00000316,K000794,2023-01-02,BLIK,Zwrócone
T00000317,K000474,2023-01-02,Przelew bankowy,Zrealizowane
T00000318,K000700,2023-01-02,Karta kredytowa,Zwrócone
T00000319,K000018,2023-01-02,PayPal,Zrealizowane
T00000320,K000827,2023-01-02,PayPal,Zrealizowane
T00000321,K000149,2023-01-02,Karta kredytowa,Zrealizowane
T00000322,K000558,2023-01-02,Karta kredytowa,Zrealizowane
T00000323,K000012,2023-01-02,PayPal,Zrealizowane
T00000324,K000742,2023-01-02,Karta kredytowa,Zrealizowane
T00000325,K000462,2023-01-02,Karta kredytowa,Anulowane
T00000326,K000625,2023-01-02,Karta kredytowa,Zrealizowane
T00000327,K000160,2023-01-02,BLIK,Zrealizowane
T00000328,K000935,2023-01-02,Przelew bankowy,Zrealizowane
T00000329,K000739,2023-01-02,PayPal,Zrealizowane
T00000330,K000977,2023-01-02,PayPal,Zrealizowane
T00000331,K000695,2023-01-02,PayPal,Zrealizowane
T00000332,K000567,2023-01-02,PayPal,Zrealizowane
T00000333,K000266,2023-01-02,Karta kredytowa,Zrealizowane
T00000334,K000547,2023-01-02,Przelew bankowy,Zrealizowane
T00000335,K000080,2023-01-02,Karta kredytowa,Zrealizowane
T00000336,K000518,2023-01-02,PayPal,Anulowane
T00000337,K000639,2023-01-02,BLIK,Zrealizowane
T00000338,K000068,2023-01-02,Karta kredytowa,Zrealizowane
T00000339,K000702,2023-01-02,Przelew bankowy,Zrealizowane
T00000340,K000244,2023-01-02,Karta kredytowa,Zrealizowane
T00000341,K000009,2023-01-02,Płatność przy odbiorze,Zrealizowane
T00000342,K000157,2023-01-02,PayPal,Zrealizowane
T00000343,K000583,2023-01-02,Płatność przy odbiorze,Zrealizowane
T00000344,K000464,2023-01-02,PayPal,Zrealizowane
T00000345,K000646,2023-01-02,Karta kredytowa,Zrealizowane
T00000346,K000300,2023-01-02,BLIK,Zrealizowane
T00000347,K000320,2023-01-02,PayPal,Zrealizowane
T00000348,K000249,2023-01-02,PayPal,Zrealizowane
T00000349,K000323,2023-01-02,PayPal,Zrealizowane
T00000350,K000556,2023-01-02,Karta kredytowa,Zrealizowane
T00000351,K000628,2023-01-02,PayPal,Zrealizowane
T00000352,K000462,2023-01-02,Karta kredytowa,Zrealizowane
T00000353,K000398,2023-01-02,BLIK,Zrealizowane
T00000354,K000393,2023-01-02,Karta kredytowa,Zrealizowane
T00000355,K000228,2023-01-02,PayPal,Anulowane
T00000356,K000919,2023-01-02,BLIK,Zrealizowane
T00000357,K000569,2023-01-02,Karta kredytowa,Zrealizowane
T00000358,K000244,2023-01-02,Karta kredytowa,Zrealizowane
T00000359,K000057,2023-01-02,Karta kredytowa,Zrealizowane
T00000360,K000143,2023-01-02,PayPal,Zrealizowane
T00000361,K000192,2023-01-02,Karta kredytowa,Zrealizowane
T00000362,K000519,2023-01-02,Płatność przy odbiorze,Zrealizowane
T00000363,K000404,2023-01-02,PayPal,Zrealizowane
T00000364,K000960,2023-01-02,PayPal,Anulowane
T00000365,K000275,2023-01-02,BLIK,Zrealizowane
T00000366,K000646,2023-01-02,Karta kredytowa,Zrealizowane
T00000367,K000947,2023-01-02,PayPal,Zrealizowane
T00000368,K000039,2023-01-02,PayPal,Zrealizowane
T00000369,K000193,2023-01-02,Karta kredytowa,Zrealizowane
T00000370,K000327,2023-01-02,BLIK,Zrealizowane
T00000371,K000483,2023-01-02,Przelew bankowy,Zrealizowane
T00000372,K000025,2023-01-02,BLIK,Zrealizowane
T00000373,K000102,2023-01-02,Płatność przy odbiorze,Zrealizowane
T00000374,K000663,2023-01-02,PayPal,Zrealizowane
T00000375,K000217,2023-01-02,BLIK,Zrealizowane
T00000376,K000742,2023-01-02,PayPal,Zrealizowane
T00000377,K000954,2023-01-02,Płatność przy odbiorze,Zrealizowane
T00000378,K000267,2023-01-02,Karta kredytowa,Zrealizowane
T00000379,K000162,2023-01-02,Karta kredytowa,Zrealizowane
T00000380,K000287,2023-01-02,Karta kredytowa,W trakcie realizacji
T00000381,K000678,2023-01-02,Karta kredytowa,Zrealizowane
T00000382,K000886,2023-01-02,PayPal,Zrealizowane
T00000383,K000882,2023-01-02,Karta kredytowa,Zrealizowane
T00000384,K000247,2023-01-02,Karta kredytowa,Zrealizowane
T00000385,K000174,2023-01-02,Karta kredytowa,Zwrócone
T00000386,K000396,2023-01-02,PayPal,Zrealizowane
T00000387,K000009,2023-01-02,Karta kredytowa,Zrealizowane
T00000388,K000909,2023-01-02,PayPal,Zrealizowane
T00000389,K000448,2023-01-02,Karta kredytowa,Zrealizowane
T00000390,K000788,2023-01-02,PayPal,Zrealizowane
T00000391,K000571,2023-01-02,Karta kredytowa,Zrealizowane
T00000392,K000597,2023-01-02,Karta kredytowa,Zrealizowane
T00000393,K000662,2023-01-02,Karta kredytowa,Zrealizowane
T00000394,K000321,2023-01-02,BLIK,Zrealizowane
T00000395,K001000,2023-01-02,Przelew bankowy,Zwrócone
T00000396,K000572,2023-01-02,Płatność przy odbiorze,Zwrócone
T00000397,K000125,2023-01-02,PayPal,Zrealizowane
T00000398,K000041,2023-01-02,Karta kredytowa,Anulowane
T00000399,K000337,2023-01-02,Płatność przy odbiorze,W trakcie realizacji
T00000400,K000685,2023-01-02,Karta kredytowa,Anulowane
T00000401,K000772,2023-01-02,Karta kredytowa,Zrealizowane
T00000402,K000326,2023-01-02,BLIK,Zrealizowane
T00000403,K000685,2023-01-02,Karta kredytowa,Zrealizowane
T00000404,K000186,2023-01-02,Przelew bankowy,Zrealizowane
T00000405,K000241,2023-01-02,Karta kredytowa,Zrealizowane
T00000406,K000339,2023-01-02,Karta kredytowa,Zrealizowane
T00000407,K000094,2023-01-02,PayPal,Zrealizowane
T00000408,K000919,2023-01-02,Karta kredytowa,Zrealizowane
T00000409,K000416,2023-01-02,BLIK,Zrealizowane
T00000410,K000063,2023-01-02,Przelew bankowy,Zrealizowane
T00000411,K000733,2023-01-02,Karta kredytowa,Zrealizowane
T00000412,K000520,2023-01-02,PayPal,W trakcie realizacji
T00000413,K000725,2023-01-02,Przelew bankowy,Zrealizowane
T00000414,K000209,2023-01-02,Przelew bankowy,W trakcie realizacji
T00000415,K000209,2023-01-02,Karta kredytowa,Zrealizowane
T00000416,K000376,2023-01-02,BLIK,Anulowane
T00000417,K000085,2023-01-02,BLIK,Anulowane
T00000418,K000207,2023-01-02,Karta kredytowa,Zrealizowane
T00000419,K000347,2023-01-02,BLIK,Zrealizowane
T00000420,K000665,2023-01-02,Przelew bankowy,Zrealizowane
T00000421,K000161,2023-01-02,BLIK,Zrealizowane
T00000422,K000450,2023-01-02,PayPal,Zrealizowane
T00000423,K000116,2023-01-02,PayPal,Zrealizowane
T00000424,K000362,2023-01-02,Karta kredytowa,Zrealizowane
T00000425,K000251,2023-01-02,Przelew bankowy,Zrealizowane
T00000426,K000912,2023-01-02,PayPal,Zrealizowane
T00000427,K000183,2023-01-02,PayPal,W trakcie realizacji
T00000428,K000676,2023-01-02,PayPal,Zrealizowane
T00000429,K000328,2023-01-02,PayPal,Zrealizowane
T00000430,K000592,2023-01-02,Przelew bankowy,Zrealizowane
T00000431,K000007,2023-01-02,BLIK,Zrealizowane
T00000432,K000837,2023-01-02,BLIK,Zrealizowane
T00000433,K000599,2023-01-02,Karta kredytowa,Zrealizowane
T00000434,K000520,2023-01-02,Płatność przy odbiorze,Zrealizowane
T00000435,K000387,2023-01-02,PayPal,W trakcie realizacji
T00000436,K000931,2023-01-02,Karta kredytowa,Zrealizowane
T00000437,K000370,2023-01-02,Karta kredytowa,Zrealizowane
T00000438,K000548,2023-01-02,Płatność przy odbiorze,Zrealizowane
T00000439,K000763,2023-01-02,PayPal,Zrealizowane
T00000440,K000612,2023-01-02,Karta kredytowa,Zrealizowane
T00000441,K000079,2023-01-02,PayPal,Zrealizowane
T00000442,K000798,2023-01-02,Karta kredytowa,Zrealizowane
T00000443,K000783,2023-01-02,Płatność przy odbiorze,Zrealizowane
T00000444,K000221,2023-01-02,PayPal,Zrealizowane
