transaction_id,date,category,product,base_price,discount_pct,final_price,quantity,total_amount,region,store,customer_type,has_discount
TX-1065,2022-01-07,HOME,BED,755.94,0,755.94,7,5291.58,SOUTH,STORE 4,RETURNING,0
TX-1066,2023-03-23,FOOD,BREAD,394.97,10,355.47,7,2488.29,SOUTH,STORE 4,RETURNING,1
TX-1067,2023-07-01,ELECTRONICS,HEADPHONES,595.97,20,476.78,1,476.78,NORTH,STORE 4,RETURNING,1
TX-1068,2023-04-18,CLOTHING,T-SHIRT,267.55,0,267.55,6,1605.3,SOUTH,STORE 4,LOYAL,0
TX-1069,2023-01-24,HOME,DESK,259.75,0,259.75,2,519.5,WEST,STORE 1,NEW,0
TX-1070,2022-08-18,ELECTRONICS,LAPTOP,756.69,0,756.69,4,3026.76,SOUTH,STORE 1,RETURNING,0
TX-1071,2022-05-10,FOOD,BREAD,568.33,0,568.33,4,2273.32,WEST,STORE 3,LOYAL,0
TX-1072,2023-09-13,BEAUTY,PERFUME,780.01,0,780.01,3,2340.03,EAST,STORE 1,NEW,0
TX-1073,2023-08-13,FOOD,CHEESE,942.06,0,942.06,4,3768.24,NORTH,STORE 5,RETURNING,0
TX-1074,2023-12-15,HOME,CHAIR,807.47,15,686.35,10,6863.5,NORTH,STORE 3,VIP,1
TX-1075,2023-01-15,ELECTRONICS,CAMERA,651.07,5,618.5200000000001,1,618.52,WEST,STORE 4,NEW,1
TX-1076,2023-01-06,FOOD,MILK,441.13,5,419.07,9,3771.63,EAST,STORE 5,VIP,1
TX-1077,2023-03-23,BEAUTY,SKINCARE,329.08,0,329.08,4,1316.32,NORTH,STORE 3,VIP,0
TX-1078,2023-04-21,BEAUTY,NAILCARE,671.51,0,671.51,6,4029.06,NORTH,STORE 4,LOYAL,0
TX-1079,2023-05-15,CLOTHING,DRESS,799.85,10,719.86,6,4319.16,EAST,STORE 5,LOYAL,1
TX-1080,2022-01-11,BEAUTY,MAKEUP,94.76,15,80.55000000000001,7,563.85,WEST,STORE 5,RETURNING,1
TX-1081,2023-05-03,FOOD,CHEESE,795.0,15,675.75,2,1351.5,EAST,STORE 2,VIP,1
TX-1082,2022-09-07,HOME,CHAIR,375.33,0,375.33,9,3377.97,EAST,STORE 4,LOYAL,0
TX-1083,2023-12-21,FOOD,EGGS,313.56,0,313.56,4,1254.24,NORTH,STORE 2,LOYAL,0
TX-1084,2023-07-03,CLOTHING,JEANS,224.22,0,224.22,8,1793.76,EAST,STORE 5,LOYAL,0
TX-1085,2022-07-18,HOME,LAMP,367.27,0,367.27,5,1836.35,NORTH,STORE 5,RETURNING,0
TX-1086,2022-02-16,ELECTRONICS,CAMERA,299.22,10,269.3,3,807.9,WEST,STORE 1,NEW,1
TX-1087,2022-10-19,FOOD,CHEESE,446.06,0,446.06,3,1338.18,NORTH,STORE 3,VIP,0
TX-1088,2022-03-08,FOOD,CHEESE,83.34,0,83.34,1,83.34,SOUTH,STORE 2,LOYAL,0
TX-1089,2022-09-12,ELECTRONICS,CAMERA,766.8,5,728.4599999999999,10,7284.6,SOUTH,STORE 5,VIP,1
TX-1090,2023-03-30,HOME,CHAIR,990.13,20,792.1,5,3960.5,NORTH,STORE 5,NEW,1
TX-1091,2022-08-01,CLOTHING,DRESS,663.82,0,663.82,3,1991.46,SOUTH,STORE 2,NEW,0
TX-1092,2022-01-03,FOOD,CHEESE,692.48,0,692.48,8,5539.84,EAST,STORE 1,RETURNING,0
TX-1093,2023-12-25,HOME,DESK,80.47,5,76.45,4,305.8,EAST,STORE 5,RETURNING,1
TX-1094,2022-04-28,BEAUTY,MAKEUP,651.16,0,651.16,5,3255.8,SOUTH,STORE 1,NEW,0
TX-1095,2022-11-11,BEAUTY,NAILCARE,921.98,15,783.6800000000001,8,6269.44,NORTH,STORE 4,LOYAL,1
TX-1096,2023-02-17,HOME,CHAIR,544.58,5,517.35,8,4138.8,NORTH,STORE 5,NEW,1
TX-1097,2022-11-27,BEAUTY,SKINCARE,35.61,20,28.49,4,113.96,NORTH,STORE 3,NEW,1
TX-1098,2022-06-29,FOOD,FRUIT,654.99,15,556.74,5,2783.7,SOUTH,STORE 5,VIP,1
TX-1099,2023-05-19,ELECTRONICS,HEADPHONES,354.48,0,354.48,6,2126.88,EAST,STORE 1,RETURNING,0
TX-1100,2023-02-26,FOOD,EGGS,665.96,0,665.96,7,4661.72,NORTH,STORE 4,NEW,0
TX-1101,2022-09-16,HOME,SOFA,970.48,5,921.96,7,6453.72,NORTH,STORE 5,VIP,1
TX-1102,2022-02-25,CLOTHING,SHOES,368.16,0,368.16,8,2945.28,WEST,STORE 1,RETURNING,0
TX-1103,2023-07-17,CLOTHING,DRESS,443.73,15,377.17,8,3017.36,NORTH,STORE 1,RETURNING,1
TX-1104,2022-06-12,HOME,CHAIR,23.54,5,22.36,7,156.52,NORTH,STORE 2,NEW,1
TX-1105,2022-05-01,CLOTHING,JACKET,933.33,5,886.6600000000001,5,4433.3,EAST,STORE 4,VIP,1
TX-1106,2022-09-07,FOOD,FRUIT,153.2,20,122.56,4,490.24,SOUTH,STORE 1,LOYAL,1
TX-1107,2023-03-01,HOME,CHAIR,274.5,20,219.6,1,219.6,EAST,STORE 3,VIP,1
TX-1108,2022-06-02,FOOD,FRUIT,489.5,20,391.6,6,2349.6,WEST,STORE 4,LOYAL,1
TX-1109,2022-07-13,CLOTHING,SHOES,389.14,15,330.77,7,2315.39,NORTH,STORE 3,VIP,1
TX-1110,2023-01-26,FOOD,MILK,500.38,20,400.3,1,400.3,SOUTH,STORE 5,LOYAL,1
TX-1111,2022-04-13,FOOD,BREAD,530.69,20,424.55000000000007,8,3396.4,NORTH,STORE 2,VIP,1
TX-1112,2023-11-02,CLOTHING,T-SHIRT,474.8,15,403.58,5,2017.9,EAST,STORE 5,VIP,1
TX-1113,2022-03-24,HOME,CHAIR,386.21,10,347.59,6,2085.54,WEST,STORE 5,NEW,1
TX-1114,2022-03-12,CLOTHING,DRESS,997.45,5,947.58,2,1895.16,WEST,STORE 1,NEW,1
TX-1115,2022-06-20,HOME,SOFA,55.53,5,52.75,1,52.75,EAST,STORE 3,LOYAL,1
TX-1116,2022-05-30,CLOTHING,SHOES,417.93,10,376.14,3,1128.42,SOUTH,STORE 2,NEW,1
TX-1117,2023-01-27,BEAUTY,MAKEUP,502.69,15,427.29,10,4272.9,SOUTH,STORE 2,VIP,1
TX-1118,2022-09-18,FOOD,EGGS,670.17,0,670.17,8,5361.36,EAST,STORE 5,RETURNING,0
TX-1119,2023-03-29,HOME,CHAIR,306.16,0,306.16,7,2143.12,EAST,STORE 4,LOYAL,0
TX-1120,2023-01-29,FOOD,BREAD,244.83,15,208.11,10,2081.1,EAST,STORE 5,LOYAL,1
TX-1121,2022-10-30,ELECTRONICS,HEADPHONES,281.74,20,225.39,10,2253.9,NORTH,STORE 5,VIP,1
TX-1122,2022-10-21,CLOTHING,SHOES,803.91,15,683.3199999999999,4,2733.28,SOUTH,STORE 5,LOYAL,1
TX-1123,2023-11-07,CLOTHING,T-SHIRT,904.37,10,813.9300000000001,1,813.93,EAST,STORE 4,NEW,1
TX-1124,2023-01-09,CLOTHING,T-SHIRT,910.53,0,910.53,6,5463.18,WEST,STORE 2,RETURNING,0
TX-1125,2023-07-07,HOME,CHAIR,506.78,20,405.42,5,2027.1,SOUTH,STORE 3,VIP,1
TX-1126,2022-10-30,HOME,SOFA,473.65,20,378.92,2,757.84,SOUTH,STORE 2,VIP,1
TX-1127,2023-07-25,HOME,SOFA,792.78,5,753.14,1,753.14,EAST,STORE 5,NEW,1
TX-1128,2023-01-13,HOME,CHAIR,387.22,0,387.22,6,2323.32,NORTH,STORE 2,VIP,0
TX-1129,2023-09-27,BEAUTY,SKINCARE,916.1,15,778.69,4,3114.76,NORTH,STORE 4,LOYAL,1
TX-1130,2023-02-23,ELECTRONICS,SMARTPHONE,54.89,0,54.89,1,54.89,EAST,STORE 4,NEW,0
TX-1131,2022-08-29,BEAUTY,MAKEUP,394.76,5,375.02,6,2250.12,WEST,STORE 5,RETURNING,1
TX-1132,2023-11-02,ELECTRONICS,HEADPHONES,619.5,5,588.52,5,2942.6,NORTH,STORE 3,RETURNING,1
TX-1133,2023-04-01,CLOTHING,DRESS,108.36,0,108.36,6,650.16,EAST,STORE 1,VIP,0
TX-1134,2022-07-14,ELECTRONICS,HEADPHONES,100.76,0,100.76,4,403.04,NORTH,STORE 1,LOYAL,0
TX-1135,2022-05-09,BEAUTY,MAKEUP,77.92,20,62.34,9,561.06,SOUTH,STORE 5,RETURNING,1
TX-1136,2022-08-27,HOME,LAMP,790.76,0,790.76,10,7907.6,NORTH,STORE 3,RETURNING,0
TX-1137,2023-07-08,HOME,LAMP,118.83,20,95.06,1,95.06,SOUTH,STORE 1,LOYAL,1
TX-1138,2022-09-01,BEAUTY,SKINCARE,25.62,10,23.06,5,115.3,NORTH,STORE 2,VIP,1
TX-1139,2022-04-27,ELECTRONICS,HEADPHONES,453.79,10,408.41,6,2450.46,NORTH,STORE 4,RETURNING,1
TX-1140,2022-02-14,BEAUTY,SKINCARE,463.46,5,440.29,1,440.29,NORTH,STORE 4,VIP,1
TX-1141,2023-12-04,ELECTRONICS,HEADPHONES,715.28,10,643.75,8,5150.0,NORTH,STORE 1,LOYAL,1
TX-1142,2022-06-01,ELECTRONICS,SMARTPHONE,282.27,5,268.16,10,2681.6,EAST,STORE 4,LOYAL,1
TX-1143,2023-06-02,BEAUTY,HAIRCARE,108.19,0,108.19,2,216.38,SOUTH,STORE 4,VIP,0
TX-1144,2023-02-28,HOME,DESK,404.74,15,344.03000000000003,2,688.06,EAST,STORE 4,LOYAL,1
TX-1145,2022-09-19,HOME,LAMP,689.95,0,689.95,8,5519.6,NORTH,STORE 1,NEW,0
TX-1146,2023-03-19,ELECTRONICS,TABLET,813.65,15,691.6,9,6224.4,NORTH,STORE 5,LOYAL,1
TX-1147,2022-05-06,FOOD,EGGS,874.87,0,874.87,7,6124.09,NORTH,STORE 3,LOYAL,0
TX-1148,2022-04-17,BEAUTY,NAILCARE,220.61,20,176.49,8,1411.92,SOUTH,STORE 1,LOYAL,1
TX-1149,2023-07-24,HOME,SOFA,764.98,10,688.48,10,6884.8,SOUTH,STORE 4,NEW,1
TX-1150,2023-11-05,HOME,SOFA,188.61,0,188.61,5,943.05,EAST,STORE 3,NEW,0
TX-1151,2022-05-27,BEAUTY,HAIRCARE,78.89,5,74.95,1,74.95,NORTH,STORE 5,RETURNING,1
TX-1152,2023-03-06,FOOD,EGGS,165.84,0,165.84,5,829.2,EAST,STORE 5,NEW,0
TX-1153,2022-06-09,CLOTHING,SHOES,59.26,5,56.3,2,112.6,EAST,STORE 4,VIP,1
TX-1154,2023-09-14,FOOD,CHEESE,280.44,0,280.44,9,2523.96,NORTH,STORE 3,VIP,0
TX-1155,2022-10-18,BEAUTY,HAIRCARE,531.66,10,478.49,5,2392.45,NORTH,STORE 2,VIP,1
TX-1156,2022-02-26,ELECTRONICS,SMARTPHONE,308.41,0,308.41,4,1233.64,SOUTH,STORE 3,LOYAL,0
TX-1157,2022-05-03,ELECTRONICS,HEADPHONES,749.54,10,674.5899999999999,3,2023.77,SOUTH,STORE 4,RETURNING,1
TX-1158,2023-07-27,HOME,SOFA,403.1,0,403.1,1,403.1,WEST,STORE 1,VIP,0
TX-1159,2022-11-17,BEAUTY,HAIRCARE,577.67,0,577.67,7,4043.69,EAST,STORE 1,VIP,0
TX-1160,2022-11-29,CLOTHING,SHOES,465.5,0,465.5,6,2793.0,NORTH,STORE 4,NEW,0
TX-1161,2023-03-23,BEAUTY,HAIRCARE,528.72,0,528.72,7,3701.04,EAST,STORE 3,RETURNING,0
TX-1162,2022-06-22,ELECTRONICS,CAMERA,636.89,15,541.36,9,4872.24,SOUTH,STORE 3,LOYAL,1
TX-1163,2023-10-23,CLOTHING,JEANS,111.78,20,89.42,5,447.1,SOUTH,STORE 2,RETURNING,1
TX-1164,2023-11-03,ELECTRONICS,SMARTPHONE,951.78,15,809.01,8,6472.08,WEST,STORE 5,VIP,1
TX-1165,2023-08-02,BEAUTY,SKINCARE,865.6,5,822.32,6,4933.92,SOUTH,STORE 4,NEW,1
TX-1166,2023-03-29,HOME,BED,595.51,5,565.73,6,3394.38,NORTH,STORE 3,VIP,1
TX-1167,2022-02-08,ELECTRONICS,TABLET,833.38,5,791.71,2,1583.42,NORTH,STORE 5,VIP,1
TX-1168,2023-08-18,BEAUTY,PERFUME,455.24,10,409.72,10,4097.2,SOUTH,STORE 3,VIP,1
TX-1169,2022-06-04,ELECTRONICS,HEADPHONES,112.47,0,112.47,6,674.82,NORTH,STORE 5,RETURNING,0
TX-1170,2022-09-11,FOOD,CHEESE,528.83,0,528.83,10,5288.3,SOUTH,STORE 3,LOYAL,0
TX-1171,2023-02-01,FOOD,EGGS,682.11,0,682.11,1,682.11,EAST,STORE 1,LOYAL,0
TX-1172,2023-07-26,FOOD,EGGS,259.48,10,233.53000000000003,10,2335.3,SOUTH,STORE 3,NEW,1
TX-1173,2023-11-11,CLOTHING,DRESS,317.13,0,317.13,7,2219.91,SOUTH,STORE 5,NEW,0
TX-1174,2023-07-27,FOOD,EGGS,815.05,0,815.05,9,7335.45,NORTH,STORE 4,LOYAL,0
TX-1175,2023-01-07,HOME,LAMP,951.66,0,951.66,6,5709.96,WEST,STORE 2,RETURNING,0
TX-1176,2022-06-08,ELECTRONICS,TABLET,845.98,10,761.38,2,1522.76,NORTH,STORE 3,RETURNING,1
TX-1177,2023-01-21,CLOTHING,JEANS,189.04,5,179.59,10,1795.9,SOUTH,STORE 4,NEW,1
TX-1178,2023-01-09,CLOTHING,JACKET,614.49,0,614.49,8,4915.92,SOUTH,STORE 5,RETURNING,0
TX-1179,2023-04-26,CLOTHING,DRESS,681.52,20,545.22,10,5452.2,WEST,STORE 4,LOYAL,1
TX-1180,2023-01-27,BEAUTY,NAILCARE,424.47,20,339.58000000000004,3,1018.74,SOUTH,STORE 5,RETURNING,1
TX-1181,2022-09-14,ELECTRONICS,HEADPHONES,875.38,0,875.38,9,7878.42,NORTH,STORE 5,NEW,0
TX-1182,2022-03-27,CLOTHING,DRESS,454.83,0,454.83,9,4093.47,SOUTH,STORE 4,NEW,0
TX-1183,2023-04-07,HOME,SOFA,420.75,0,420.75,7,2945.25,EAST,STORE 2,VIP,0
TX-1184,2023-01-19,CLOTHING,T-SHIRT,325.5,0,325.5,2,651.0,EAST,STORE 2,RETURNING,0
TX-1185,2022-10-21,FOOD,MILK,761.25,0,761.25,8,6090.0,WEST,STORE 5,NEW,0
TX-1186,2022-01-20,HOME,LAMP,836.61,0,836.61,9,7529.49,WEST,STORE 1,LOYAL,0
TX-1187,2022-11-05,ELECTRONICS,LAPTOP,246.06,20,196.85,10,1968.5,WEST,STORE 1,NEW,1
TX-1188,2023-05-27,BEAUTY,NAILCARE,26.27,5,24.96,9,224.64,SOUTH,STORE 2,LOYAL,1
TX-1189,2022-01-02,BEAUTY,SKINCARE,248.16,0,248.16,7,1737.12,SOUTH,STORE 1,LOYAL,0
TX-1190,2023-06-23,BEAUTY,NAILCARE,788.55,0,788.55,9,7096.95,NORTH,STORE 4,VIP,0
TX-1191,2023-10-13,FOOD,EGGS,261.11,0,261.11,1,261.11,EAST,STORE 1,LOYAL,0
TX-1192,2023-11-04,ELECTRONICS,CAMERA,737.84,10,664.0600000000001,6,3984.36,SOUTH,STORE 1,LOYAL,1
TX-1193,2022-12-13,CLOTHING,JACKET,981.01,15,833.86,8,6670.88,SOUTH,STORE 2,NEW,1
TX-1194,2023-04-14,ELECTRONICS,TABLET,209.58,10,188.62,4,754.48,NORTH,STORE 3,LOYAL,1
TX-1195,2023-02-12,BEAUTY,HAIRCARE,260.78,20,208.62,4,834.48,EAST,STORE 3,NEW,1
TX-1196,2023-11-03,HOME,BED,133.23,5,126.57,6,759.42,WEST,STORE 4,VIP,1
TX-1197,2022-12-14,CLOTHING,JACKET,695.15,0,695.15,6,4170.9,EAST,STORE 1,VIP,0
TX-1198,2023-03-17,BEAUTY,MAKEUP,550.02,15,467.52,6,2805.12,NORTH,STORE 1,LOYAL,1
TX-1199,2022-10-30,HOME,DESK,606.6,5,576.27,7,4033.89,SOUTH,STORE 4,LOYAL,1
TX-1200,2022-02-13,HOME,CHAIR,998.17,0,998.17,5,4990.85,NORTH,STORE 1,VIP,0
TX-1201,2023-06-10,CLOTHING,T-SHIRT,151.35,0,151.35,10,1513.5,WEST,STORE 1,RETURNING,0
TX-1202,2022-08-30,HOME,BED,389.03,15,330.67999999999995,10,3306.8,NORTH,STORE 5,RETURNING,1
TX-1203,2023-04-06,HOME,BED,449.5,5,427.02,2,854.04,SOUTH,STORE 5,LOYAL,1
TX-1204,2022-11-18,HOME,LAMP,960.91,10,864.8199999999999,1,864.82,SOUTH,STORE 4,VIP,1
TX-1205,2022-05-01,HOME,BED,707.0,0,707.0,4,2828.0,EAST,STORE 4,RETURNING,0
TX-1206,2022-05-19,ELECTRONICS,HEADPHONES,180.93,15,153.79000000000002,8,1230.32,NORTH,STORE 3,LOYAL,1
TX-1207,2022-03-08,BEAUTY,NAILCARE,297.46,10,267.71,5,1338.55,SOUTH,STORE 2,LOYAL,1
TX-1208,2022-08-18,ELECTRONICS,SMARTPHONE,794.15,10,714.73,4,2858.92,WEST,STORE 1,LOYAL,1
TX-1209,2023-08-10,HOME,DESK,805.63,0,805.63,9,7250.67,SOUTH,STORE 5,NEW,0
TX-1210,2022-11-13,FOOD,CHEESE,530.44,15,450.87000000000006,7,3156.09,NORTH,STORE 2,LOYAL,1
TX-1211,2022-03-17,FOOD,CHEESE,683.31,20,546.65,6,3279.9,SOUTH,STORE 5,RETURNING,1
TX-1212,2022-05-13,FOOD,FRUIT,911.61,0,911.61,1,911.61,NORTH,STORE 5,RETURNING,0
TX-1213,2022-06-18,CLOTHING,DRESS,935.39,20,748.31,4,2993.24,EAST,STORE 5,LOYAL,1
TX-1214,2022-03-22,HOME,LAMP,638.71,10,574.84,9,5173.56,EAST,STORE 2,LOYAL,1
TX-1215,2023-07-01,ELECTRONICS,CAMERA,644.58,20,515.6600000000001,10,5156.6,SOUTH,STORE 2,LOYAL,1
TX-1216,2023-08-01,ELECTRONICS,LAPTOP,90.41,10,81.37,10,813.7,EAST,STORE 2,VIP,1
TX-1217,2023-10-17,ELECTRONICS,HEADPHONES,890.11,0,890.11,9,8010.99,EAST,STORE 3,VIP,0
TX-1218,2023-12-03,FOOD,EGGS,459.01,5,436.06,1,436.06,SOUTH,STORE 4,VIP,1
TX-1219,2023-04-21,CLOTHING,DRESS,610.59,0,610.59,6,3663.54,EAST,STORE 3,VIP,0
TX-1220,2023-01-15,BEAUTY,NAILCARE,115.12,5,109.36,4,437.44,WEST,STORE 1,LOYAL,1
TX-1221,2022-09-11,CLOTHING,T-SHIRT,60.1,20,48.08,7,336.56,WEST,STORE 2,RETURNING,1
TX-1222,2022-12-02,BEAUTY,SKINCARE,197.94,5,188.04,3,564.12,WEST,STORE 5,VIP,1
TX-1223,2022-11-12,FOOD,BREAD,99.15,10,89.23,7,624.61,WEST,STORE 2,RETURNING,1
TX-1224,2022-12-28,ELECTRONICS,LAPTOP,288.54,20,230.83,10,2308.3,WEST,STORE 3,NEW,1
TX-1225,2022-04-21,FOOD,MILK,883.63,5,839.45,6,5036.7,WEST,STORE 3,NEW,1
TX-1226,2022-02-22,BEAUTY,NAILCARE,202.71,10,182.44,9,1641.96,EAST,STORE 1,VIP,1
TX-1227,2023-04-07,BEAUTY,SKINCARE,827.06,5,785.7099999999999,10,7857.1,NORTH,STORE 2,NEW,1
TX-1228,2023-01-18,HOME,CHAIR,939.56,10,845.5999999999999,3,2536.8,SOUTH,STORE 5,VIP,1
TX-1229,2022-02-11,ELECTRONICS,LAPTOP,145.67,0,145.67,6,874.02,WEST,STORE 5,VIP,0
