transaction_id,date,category,product,base_price,discount_pct,final_price,quantity,total_amount,region,store,customer_type
TX-1083,2023-12-21,Food,Eggs,313.56,0,313.56,4,1254.24,North,Store 2,Loyal
TX-1084,2023-07-03,Clothing,Jeans,224.22,0,224.22,8,1793.76,East,Store 5,Loyal
TX-1085,2022-07-18,Home,Lamp,367.27,0,367.27,5,1836.35,North,Store 5,Returning
TX-1086,2022-02-16,Electronics,Camera,299.22,10,269.3,3,807.9,West,Store 1,New
TX-1087,2022-10-19,Food,Cheese,446.06,0,446.06,3,1338.18,North,Store 3,VIP
TX-1088,2022-03-08,Food,Cheese,83.34,0,83.34,1,83.34,South,Store 2,Loyal
TX-1089,2022-09-12,Electronics,Camera,766.8,5,728.4599999999999,10,7284.6,South,Store 5,VIP
TX-1090,2023-03-30,Home,Chair,990.13,20,792.1,5,3960.5,North,Store 5,New
TX-1091,2022-08-01,Clothing,Dress,663.82,0,663.82,3,1991.46,South,Store 2,New
TX-1092,2022-01-03,Food,Cheese,692.48,0,692.48,8,5539.84,East,Store 1,Returning
TX-1093,2023-12-25,Home,Desk,80.47,5,76.45,4,305.8,East,Store 5,Returning
TX-1094,2022-04-28,Beauty,Makeup,651.16,0,651.16,5,3255.8,South,Store 1,New
TX-1095,2022-11-11,Beauty,Nailcare,921.98,15,783.6800000000001,8,6269.44,North,Store 4,Loyal
TX-1096,2023-02-17,Home,Chair,544.58,5,517.35,8,4138.8,North,Store 5,New
TX-1097,2022-11-27,Beauty,Skincare,35.61,20,28.49,4,113.96,North,Store 3,New
TX-1098,2022-06-29,Food,Fruit,654.99,15,556.74,5,2783.7,South,Store 5,VIP
TX-1099,2023-05-19,Electronics,Headphones,354.48,0,354.48,6,2126.88,East,Store 1,Returning
TX-1100,2023-02-26,Food,Eggs,665.96,0,665.96,7,4661.72,North,Store 4,New
TX-1101,2022-09-16,Home,Sofa,970.48,5,921.96,7,6453.72,North,Store 5,VIP
TX-1102,2022-02-25,Clothing,Shoes,368.16,0,368.16,8,2945.28,West,Store 1,Returning
TX-1103,2023-07-17,Clothing,Dress,443.73,15,377.17,8,3017.36,North,Store 1,Returning
TX-1104,2022-06-12,Home,Chair,23.54,5,22.36,7,156.52,North,Store 2,New
TX-1105,2022-05-01,Clothing,Jacket,933.33,5,886.6600000000001,5,4433.3,East,Store 4,VIP
TX-1106,2022-09-07,Food,Fruit,153.2,20,122.55999999999999,4,490.24,South,Store 1,Loyal
TX-1107,2023-03-01,Home,Chair,274.5,20,219.6,1,219.6,East,Store 3,VIP
TX-1108,2022-06-02,Food,Fruit,489.5,20,391.6,6,2349.6,West,Store 4,Loyal
TX-1109,2022-07-13,Clothing,Shoes,389.14,15,330.77,7,2315.39,North,Store 3,VIP
TX-1110,2023-01-26,Food,Milk,500.38,20,400.3,1,400.3,South,Store 5,Loyal
TX-1111,2022-04-13,Food,Bread,530.69,20,424.55000000000007,8,3396.4,North,Store 2,VIP
TX-1112,2023-11-02,Clothing,T-shirt,474.8,15,403.58000000000004,5,2017.9,East,Store 5,VIP
TX-1113,2022-03-24,Home,Chair,386.21,10,347.59,6,2085.54,West,Store 5,New
TX-1114,2022-03-12,Clothing,Dress,997.45,5,947.58,2,1895.16,West,Store 1,New
TX-1115,2022-06-20,Home,Sofa,55.53,5,52.75,1,52.75,East,Store 3,Loyal
TX-1116,2022-05-30,Clothing,Shoes,417.93,10,376.14,3,1128.42,South,Store 2,New
TX-1117,2023-01-27,Beauty,Makeup,502.69,15,427.28999999999996,10,4272.9,South,Store 2,VIP
TX-1118,2022-09-18,Food,Eggs,670.17,0,670.17,8,5361.36,East,Store 5,Returning
TX-1119,2023-03-29,Home,Chair,306.16,0,306.16,7,2143.12,East,Store 4,Loyal
TX-1120,2023-01-29,Food,Bread,244.83,15,208.11,10,2081.1,East,Store 5,Loyal
TX-1121,2022-10-30,Electronics,Headphones,281.74,20,225.39000000000001,10,2253.9,North,Store 5,VIP
TX-1122,2022-10-21,Clothing,Shoes,803.91,15,683.3199999999999,4,2733.28,South,Store 5,Loyal
TX-1123,2023-11-07,Clothing,T-shirt,904.37,10,813.9300000000001,1,813.93,East,Store 4,New
TX-1124,2023-01-09,Clothing,T-shirt,910.53,0,910.53,6,5463.18,West,Store 2,Returning
TX-1125,2023-07-07,Home,Chair,506.78,20,405.41999999999996,5,2027.1,South,Store 3,VIP
TX-1126,2022-10-30,Home,Sofa,473.65,20,378.91999999999996,2,757.84,South,Store 2,VIP
TX-1127,2023-07-25,Home,Sofa,792.78,5,753.14,1,753.14,East,Store 5,New
TX-1128,2023-01-13,Home,Chair,387.22,0,387.22,6,2323.32,North,Store 2,VIP
TX-1129,2023-09-27,Beauty,Skincare,916.1,15,778.69,4,3114.76,North,Store 4,Loyal
TX-1130,2023-02-23,Electronics,Smartphone,54.89,0,54.89,1,54.89,East,Store 4,New
TX-1131,2022-08-29,Beauty,Makeup,394.76,5,375.02,6,2250.12,West,Store 5,Returning
TX-1132,2023-11-02,Electronics,Headphones,619.5,5,588.52,5,2942.6,North,Store 3,Returning
TX-1133,2023-04-01,Clothing,Dress,108.36,0,108.36,6,650.16,East,Store 1,VIP
TX-1134,2022-07-14,Electronics,Headphones,100.76,0,100.76,4,403.04,North,Store 1,Loyal
TX-1135,2022-05-09,Beauty,Makeup,77.92,20,62.34,9,561.06,South,Store 5,Returning
TX-1136,2022-08-27,Home,Lamp,790.76,0,790.76,10,7907.6,North,Store 3,Returning
TX-1137,2023-07-08,Home,Lamp,118.83,20,95.06,1,95.06,South,Store 1,Loyal
TX-1138,2022-09-01,Beauty,Skincare,25.62,10,23.060000000000002,5,115.3,North,Store 2,VIP
TX-1139,2022-04-27,Electronics,Headphones,453.79,10,408.41,6,2450.46,North,Store 4,Returning
TX-1140,2022-02-14,Beauty,Skincare,463.46,5,440.28999999999996,1,440.29,North,Store 4,VIP
TX-1141,2023-12-04,Electronics,Headphones,715.28,10,643.75,8,5150.0,North,Store 1,Loyal
TX-1142,2022-06-01,Electronics,Smartphone,282.27,5,268.15999999999997,10,2681.6,East,Store 4,Loyal
TX-1143,2023-06-02,Beauty,Haircare,108.19,0,108.19,2,216.38,South,Store 4,VIP
TX-1144,2023-02-28,Home,Desk,404.74,15,344.03000000000003,2,688.06,East,Store 4,Loyal
TX-1145,2022-09-19,Home,Lamp,689.95,0,689.95,8,5519.6,North,Store 1,New
TX-1146,2023-03-19,Electronics,Tablet,813.65,15,691.6,9,6224.4,North,Store 5,Loyal
TX-1147,2022-05-06,Food,Eggs,874.87,0,874.87,7,6124.09,North,Store 3,Loyal
TX-1148,2022-04-17,Beauty,Nailcare,220.61,20,176.49,8,1411.92,South,Store 1,Loyal
TX-1149,2023-07-24,Home,Sofa,764.98,10,688.48,10,6884.8,South,Store 4,New
TX-1150,2023-11-05,Home,Sofa,188.61,0,188.61,5,943.05,East,Store 3,New
TX-1151,2022-05-27,Beauty,Haircare,78.89,5,74.95,1,74.95,North,Store 5,Returning
TX-1152,2023-03-06,Food,Eggs,165.84,0,165.84,5,829.2,East,Store 5,New
TX-1153,2022-06-09,Clothing,Shoes,59.26,5,56.3,2,112.6,East,Store 4,VIP
TX-1154,2023-09-14,Food,Cheese,280.44,0,280.44,9,2523.96,North,Store 3,VIP
TX-1155,2022-10-18,Beauty,Haircare,531.66,10,478.48999999999995,5,2392.45,North,Store 2,VIP
TX-1156,2022-02-26,Electronics,Smartphone,308.41,0,308.41,4,1233.64,South,Store 3,Loyal
TX-1157,2022-05-03,Electronics,Headphones,749.54,10,674.5899999999999,3,2023.77,South,Store 4,Returning
TX-1158,2023-07-27,Home,Sofa,403.1,0,403.1,1,403.1,West,Store 1,VIP
TX-1159,2022-11-17,Beauty,Haircare,577.67,0,577.67,7,4043.69,East,Store 1,VIP
TX-1160,2022-11-29,Clothing,Shoes,465.5,0,465.5,6,2793.0,North,Store 4,New
TX-1161,2023-03-23,Beauty,Haircare,528.72,0,528.72,7,3701.04,East,Store 3,Returning
TX-1162,2022-06-22,Electronics,Camera,636.89,15,541.36,9,4872.24,South,Store 3,Loyal
TX-1163,2023-10-23,Clothing,Jeans,111.78,20,89.42,5,447.1,South,Store 2,Returning
TX-1164,2023-11-03,Electronics,Smartphone,951.78,15,809.01,8,6472.08,West,Store 5,VIP
TX-1165,2023-08-02,Beauty,Skincare,865.6,5,822.32,6,4933.92,South,Store 4,New
TX-1166,2023-03-29,Home,Bed,595.51,5,565.73,6,3394.38,North,Store 3,VIP
TX-1167,2022-02-08,Electronics,Tablet,833.38,5,791.71,2,1583.42,North,Store 5,VIP
TX-1168,2023-08-18,Beauty,Perfume,455.24,10,409.72,10,4097.2,South,Store 3,VIP
TX-1169,2022-06-04,Electronics,Headphones,112.47,0,112.47,6,674.82,North,Store 5,Returning
TX-1170,2022-09-11,Food,Cheese,528.83,0,528.83,10,5288.3,South,Store 3,Loyal
TX-1171,2023-02-01,Food,Eggs,682.11,0,682.11,1,682.11,East,Store 1,Loyal
TX-1172,2023-07-26,Food,Eggs,259.48,10,233.53000000000003,10,2335.3,South,Store 3,New
TX-1173,2023-11-11,Clothing,Dress,317.13,0,317.13,7,2219.91,South,Store 5,New
TX-1174,2023-07-27,Food,Eggs,815.05,0,815.05,9,7335.45,North,Store 4,Loyal
TX-1175,2023-01-07,Home,Lamp,951.66,0,951.66,6,5709.96,West,Store 2,Returning
TX-1176,2022-06-08,Electronics,Tablet,845.98,10,761.38,2,1522.76,North,Store 3,Returning
TX-1177,2023-01-21,Clothing,Jeans,189.04,5,179.59,10,1795.9,South,Store 4,New
TX-1178,2023-01-09,Clothing,Jacket,614.49,0,614.49,8,4915.92,South,Store 5,Returning
TX-1179,2023-04-26,Clothing,Dress,681.52,20,545.22,10,5452.2,West,Store 4,Loyal
TX-1180,2023-01-27,Beauty,Nailcare,424.47,20,339.58000000000004,3,1018.74,South,Store 5,Returning
TX-1181,2022-09-14,Electronics,Headphones,875.38,0,875.38,9,7878.42,North,Store 5,New
TX-1182,2022-03-27,Clothing,Dress,454.83,0,454.83,9,4093.47,South,Store 4,New
TX-1183,2023-04-07,Home,Sofa,420.75,0,420.75,7,2945.25,East,Store 2,VIP
TX-1184,2023-01-19,Clothing,T-shirt,325.5,0,325.5,2,651.0,East,Store 2,Returning
TX-1185,2022-10-21,Food,Milk,761.25,0,761.25,8,6090.0,West,Store 5,New
TX-1186,2022-01-20,Home,Lamp,836.61,0,836.61,9,7529.49,West,Store 1,Loyal
TX-1187,2022-11-05,Electronics,Laptop,246.06,20,196.85,10,1968.5,West,Store 1,New
TX-1188,2023-05-27,Beauty,Nailcare,26.27,5,24.96,9,224.64,South,Store 2,Loyal
TX-1189,2022-01-02,Beauty,Skincare,248.16,0,248.16,7,1737.12,South,Store 1,Loyal
TX-1190,2023-06-23,Beauty,Nailcare,788.55,0,788.55,9,7096.95,North,Store 4,VIP
TX-1191,2023-10-13,Food,Eggs,261.11,0,261.11,1,261.11,East,Store 1,Loyal
TX-1192,2023-11-04,Electronics,Camera,737.84,10,664.0600000000001,6,3984.36,South,Store 1,Loyal
TX-1193,2022-12-13,Clothing,Jacket,981.01,15,833.86,8,6670.88,South,Store 2,New
TX-1194,2023-04-14,Electronics,Tablet,209.58,10,188.62,4,754.48,North,Store 3,Loyal
TX-1195,2023-02-12,Beauty,Haircare,260.78,20,208.61999999999998,4,834.48,East,Store 3,New
TX-1196,2023-11-03,Home,Bed,133.23,5,126.57,6,759.42,West,Store 4,VIP
TX-1197,2022-12-14,Clothing,Jacket,695.15,0,695.15,6,4170.9,East,Store 1,VIP
TX-1198,2023-03-17,Beauty,Makeup,550.02,15,467.52,6,2805.12,North,Store 1,Loyal
TX-1199,2022-10-30,Home,Desk,606.6,5,576.27,7,4033.89,South,Store 4,Loyal
TX-1200,2022-02-13,Home,Chair,998.17,0,998.17,5,4990.85,North,Store 1,VIP
TX-1201,2023-06-10,Clothing,T-shirt,151.35,0,151.35,10,1513.5,West,Store 1,Returning
TX-1202,2022-08-30,Home,Bed,389.03,15,330.67999999999995,10,3306.8,North,Store 5,Returning
TX-1203,2023-04-06,Home,Bed,449.5,5,427.02,2,854.04,South,Store 5,Loyal
TX-1204,2022-11-18,Home,Lamp,960.91,10,864.8199999999999,1,864.82,South,Store 4,VIP
TX-1205,2022-05-01,Home,Bed,707.0,0,707.0,4,2828.0,East,Store 4,Returning
TX-1206,2022-05-19,Electronics,Headphones,180.93,15,153.79000000000002,8,1230.32,North,Store 3,Loyal
TX-1207,2022-03-08,Beauty,Nailcare,297.46,10,267.71,5,1338.55,South,Store 2,Loyal
TX-1208,2022-08-18,Electronics,Smartphone,794.15,10,714.73,4,2858.92,West,Store 1,Loyal
TX-1209,2023-08-10,Home,Desk,805.63,0,805.63,9,7250.67,South,Store 5,New
TX-1210,2022-11-13,Food,Cheese,530.44,15,450.87000000000006,7,3156.09,North,Store 2,Loyal
TX-1211,2022-03-17,Food,Cheese,683.31,20,546.65,6,3279.9,South,Store 5,Returning
TX-1212,2022-05-13,Food,Fruit,911.61,0,911.61,1,911.61,North,Store 5,Returning
TX-1213,2022-06-18,Clothing,Dress,935.39,20,748.31,4,2993.24,East,Store 5,Loyal
TX-1214,2022-03-22,Home,Lamp,638.71,10,574.84,9,5173.56,East,Store 2,Loyal
TX-1215,2023-07-01,Electronics,Camera,644.58,20,515.6600000000001,10,5156.6,South,Store 2,Loyal
TX-1216,2023-08-01,Electronics,Laptop,90.41,10,81.37,10,813.7,East,Store 2,VIP
TX-1217,2023-10-17,Electronics,Headphones,890.11,0,890.11,9,8010.99,East,Store 3,VIP
TX-1218,2023-12-03,Food,Eggs,459.01,5,436.06,1,436.06,South,Store 4,VIP
TX-1219,2023-04-21,Clothing,Dress,610.59,0,610.59,6,3663.54,East,Store 3,VIP
TX-1220,2023-01-15,Beauty,Nailcare,115.12,5,109.36,4,437.44,West,Store 1,Loyal
TX-1221,2022-09-11,Clothing,T-shirt,60.1,20,48.08,7,336.56,West,Store 2,Returning
TX-1222,2022-12-02,Beauty,Skincare,197.94,5,188.04,3,564.12,West,Store 5,VIP
TX-1223,2022-11-12,Food,Bread,99.15,10,89.23,7,624.61,West,Store 2,Returning
TX-1224,2022-12-28,Electronics,Laptop,288.54,20,230.83,10,2308.3,West,Store 3,New
TX-1225,2022-04-21,Food,Milk,883.63,5,839.45,6,5036.7,West,Store 3,New
TX-1226,2022-02-22,Beauty,Nailcare,202.71,10,182.44,9,1641.96,East,Store 1,VIP
TX-1227,2023-04-07,Beauty,Skincare,827.06,5,785.7099999999999,10,7857.1,North,Store 2,New
TX-1228,2023-01-18,Home,Chair,939.56,10,845.5999999999999,3,2536.8,South,Store 5,VIP
TX-1229,2022-02-11,Electronics,Laptop,145.67,0,145.67,6,874.02,West,Store 5,VIP
TX-1230,2023-09-13,Beauty,Makeup,334.69,10,301.22,10,3012.2,East,Store 2,VIP
TX-1231,2022-11-03,Beauty,Skincare,512.24,5,486.63,9,4379.67,West,Store 5,Loyal
TX-1232,2022-01-18,Home,Bed,677.07,0,677.07,7,4739.49,East,Store 1,VIP
TX-1233,2023-11-03,Beauty,Nailcare,235.27,0,235.27,1,235.27,West,Store 2,VIP
TX-1234,2023-11-29,Clothing,T-shirt,576.84,0,576.84,2,1153.68,South,Store 1,VIP
TX-1235,2023-03-05,Clothing,Jacket,693.6,10,624.24,7,4369.68,West,Store 1,Returning
TX-1236,2022-08-01,Beauty,Skincare,998.14,5,948.23,8,7585.84,West,Store 3,Returning
TX-1237,2023-06-30,Home,Chair,360.74,0,360.74,5,1803.7,West,Store 2,Returning
TX-1238,2023-07-26,Home,Lamp,942.07,0,942.07,5,4710.35,East,Store 2,VIP
TX-1239,2023-05-07,Home,Chair,934.36,5,887.64,5,4438.2,East,Store 1,VIP
TX-1240,2022-12-20,Clothing,Dress,51.65,15,43.9,2,87.8,East,Store 4,Loyal
TX-1241,2023-05-06,Clothing,Jeans,829.67,10,746.6999999999999,5,3733.5,East,Store 2,New
TX-1242,2023-08-24,Clothing,Jeans,60.26,0,60.26,9,542.34,South,Store 2,New
TX-1243,2023-02-28,Home,Desk,109.54,5,104.06,3,312.18,North,Store 5,Returning
TX-1244,2023-10-31,Food,Cheese,654.03,20,523.22,5,2616.1,East,Store 3,New
TX-1245,2022-04-02,Beauty,Makeup,539.8,0,539.8,1,539.8,South,Store 4,Returning
TX-1246,2023-02-11,Food,Milk,937.24,10,843.52,5,4217.6,North,Store 1,Loyal
TX-1247,2023-09-10,Electronics,Tablet,291.72,0,291.72,9,2625.48,West,Store 2,VIP
TX-1248,2022-07-17,Electronics,Tablet,170.87,15,145.24,8,1161.92,East,Store 2,New
TX-1249,2022-12-12,Home,Chair,677.66,20,542.13,4,2168.52,South,Store 5,VIP
TX-1250,2023-03-14,Beauty,Skincare,95.87,0,95.87,2,191.74,South,Store 2,VIP
TX-1251,2022-09-12,Electronics,Tablet,389.74,10,350.77,8,2806.16,East,Store 3,Loyal
TX-1252,2023-08-10,Electronics,Tablet,657.15,0,657.15,4,2628.6,North,Store 1,VIP
TX-1253,2022-06-13,Food,Fruit,923.87,10,831.48,5,4157.4,North,Store 3,Loyal
TX-1254,2022-08-15,Clothing,Jeans,483.4,20,386.71999999999997,8,3093.76,East,Store 4,VIP
TX-1255,2023-07-05,Clothing,Jeans,683.54,10,615.1899999999999,10,6151.9,North,Store 5,VIP
TX-1256,2023-12-22,Home,Sofa,918.07,10,826.26,2,1652.52,North,Store 5,Returning
TX-1257,2023-07-04,Clothing,Jeans,334.84,15,284.60999999999996,9,2561.49,West,Store 1,Returning
TX-1258,2023-08-21,Food,Bread,899.9,10,809.91,8,6479.28,North,Store 4,Returning
TX-1259,2023-03-02,Food,Fruit,67.16,0,67.16,8,537.28,East,Store 1,VIP
TX-1260,2022-01-04,Clothing,Shoes,82.3,0,82.3,7,576.1,East,Store 1,New
TX-1261,2023-04-29,Electronics,Tablet,414.78,5,394.03999999999996,3,1182.12,West,Store 3,VIP
TX-1262,2023-01-22,Food,Bread,685.9,0,685.9,9,6173.1,South,Store 3,New
TX-1263,2023-07-05,Food,Fruit,136.07,5,129.26999999999998,4,517.08,North,Store 1,Loyal
TX-1264,2023-11-21,Beauty,Haircare,536.61,0,536.61,4,2146.44,South,Store 4,Loyal
TX-1265,2022-10-10,Clothing,T-shirt,41.9,0,41.9,7,293.3,North,Store 2,Returning
TX-1266,2022-04-14,Beauty,Perfume,451.98,5,429.38,1,429.38,South,Store 1,VIP
TX-1267,2022-08-28,Beauty,Makeup,756.84,0,756.84,1,756.84,South,Store 5,Loyal
TX-1268,2023-08-13,Home,Chair,601.94,15,511.65000000000003,6,3069.9,South,Store 3,Returning
TX-1269,2023-06-18,Clothing,Jacket,307.5,0,307.5,1,307.5,South,Store 4,VIP
TX-1270,2022-12-19,Food,Fruit,325.55,5,309.27,7,2164.89,West,Store 2,Loyal
TX-1271,2022-07-08,Beauty,Haircare,248.56,0,248.56,4,994.24,East,Store 2,VIP
TX-1272,2023-07-30,Food,Cheese,561.71,0,561.71,3,1685.13,West,Store 2,Loyal
TX-1273,2022-12-05,Electronics,Headphones,848.66,5,806.23,2,1612.46,South,Store 1,Loyal
TX-1274,2023-11-21,Beauty,Nailcare,49.15,5,46.69,2,93.38,South,Store 5,Returning
TX-1275,2022-08-02,Home,Bed,957.45,15,813.83,1,813.83,South,Store 2,New
