id_klienta,liczba_transakcji,pierwsza_transakcja,ostatnia_transakcja,laczna_wartosc,srednia_wartosc_zamowienia,min_wartosc_zamowienia,max_wartosc_zamowienia,miasto,segment,data_rejestracji,dni_miedzy_transakcjami,dni_od_rejestracji_do_pierwszego_zakupu,dni_od_ostatniego_zakupu
K000056,44,2023-01-04,2023-06-28,235333.5235,5348.489170454545,146.02,12470.158000000001,Gdańsk,VIP,2022-01-31 00:07:12.432432432,4.069767441860465,337,1
K000057,62,2023-01-02,2023-06-29,342857.966,5529.9671935483875,211.73,18734.530000000002,Wrocław,Standard,2022-01-31 13:12:47.567567567,2.918032786885246,335,0
K000058,48,2023-01-04,2023-06-25,306763.0225,6390.8963020833335,61.542,14088.62,Łódź,Premium,2022-02-01 02:18:22.702702702,3.6595744680851063,336,4
K000059,46,2023-01-12,2023-06-28,314970.243,6847.179195652175,120.21,16613.437,Kraków,Standard,2022-02-01 15:23:57.837837837,3.7111111111111112,344,1
K000060,38,2023-01-02,2023-06-23,244223.625,6426.9375,1076.0,16104.6135,Gdańsk,Premium,2022-02-02 04:29:32.972972973,4.648648648648648,333,6
K000061,63,2023-01-07,2023-06-28,443716.784,7043.123555555555,318.11,17377.8845,Kraków,VIP,2022-02-02 17:35:08.108108108,2.774193548387097,338,1
K000062,50,2023-01-02,2023-06-28,318443.212,6368.86424,1016.86,15881.744,Warszawa,Standard,2022-02-03 06:40:43.243243243,3.6122448979591835,332,1
K000063,43,2023-01-02,2023-06-27,296141.74700000003,6887.017372093024,80.14,14238.41,Kraków,Standard,2022-02-03 19:46:18.378378378,4.190476190476191,332,2
K000064,46,2023-01-04,2023-06-27,295233.5015,6418.119597826088,84.77,16132.836,Warszawa,Premium,2022-02-04 08:51:53.513513513,3.8666666666666667,333,2
K000065,46,2023-01-01,2023-06-28,263916.804,5737.321826086956,118.72,16558.434,Warszawa,Standard,2022-02-04 21:57:28.648648648,3.9555555555555557,330,1
K000066,47,2023-01-05,2023-06-13,293318.5245,6240.819670212766,376.749,15903.653,Kraków,Standard,2022-02-05 11:03:03.783783783,3.4565217391304346,333,16
K000067,54,2023-01-03,2023-06-29,343372.1035,6358.742657407408,535.91,15106.48,Gdańsk,Standard,2022-02-06 00:08:38.918918919,3.339622641509434,330,0
K000068,51,2023-01-02,2023-06-27,319960.5605,6273.736480392157,84.77,17138.903,Łódź,Standard,2022-02-06 13:14:14.054054054,3.52,329,2
K000069,62,2023-01-01,2023-06-26,414228.582,6681.106161290322,308.67300000000006,14452.831,Wrocław,Standard,2022-02-07 02:19:49.189189189,2.8852459016393444,327,3
K000070,49,2023-01-04,2023-06-22,293788.6515,5995.686765306122,25.86,18506.783,Wrocław,Standard,2022-02-07 15:25:24.324324324,3.5208333333333335,330,7
K000071,60,2023-01-06,2023-06-19,341180.516,5686.341933333333,144.33,13799.37,Łódź,Standard,2022-02-08 04:30:59.459459459,2.7796610169491527,331,10
K000072,42,2023-01-16,2023-06-18,253061.1835,6025.266273809524,402.287,16272.854500000001,Szczecin,Standard,2022-02-08 17:36:34.594594594,3.731707317073171,341,11
K000073,51,2023-01-01,2023-06-28,335719.0025,6582.725539215687,322.97,16580.0825,Szczecin,VIP,2022-02-09 06:42:09.729729729,3.56,325,1
K000074,48,2023-01-08,2023-06-29,220747.7645,4598.911760416667,27.054,15204.978,Warszawa,Standard,2022-02-09 19:47:44.864864864,3.6595744680851063,332,0
K000075,60,2023-01-01,2023-06-29,397933.12450000003,6632.2187416666675,259.79400000000004,20770.322,Warszawa,VIP,2022-02-10 08:53:20.000000000,3.0338983050847457,324,0
K000076,47,2023-01-02,2023-06-29,273321.82,5815.357872340425,244.89900000000003,16717.5125,Gdańsk,Standard,2022-02-10 21:58:55.135135135,3.869565217391304,325,0
K000077,54,2023-01-01,2023-06-07,338979.6435,6277.400805555556,498.39,17882.83,Poznań,Standard,2022-02-11 11:04:30.270270270,2.9622641509433962,323,22
K000078,42,2023-01-03,2023-06-20,263444.454,6272.487000000001,1018.56,14405.180499999999,Kraków,Standard,2022-02-12 00:10:05.405405405,4.097560975609756,324,9
K000079,40,2023-01-01,2023-06-28,238687.6855,5967.1921375,544.22,12481.09,Warszawa,Standard,2022-02-12 13:15:40.540540540,4.564102564102564,322,1
K000080,53,2023-01-02,2023-06-27,277821.554,5241.916113207547,160.41,13170.034,Wrocław,Standard,2022-02-13 02:21:15.675675675,3.3846153846153846,322,2
K000081,41,2023-01-01,2023-06-29,239595.6895,5843.797304878049,407.9,18536.61,Gdańsk,Standard,2022-02-13 15:26:50.810810810,4.475,321,0
K000082,59,2023-01-05,2023-06-29,347819.855,5895.251779661016,288.738,14279.624000000002,Kraków,Standard,2022-02-14 04:32:25.945945946,3.0172413793103448,324,0
K000083,57,2023-01-08,2023-06-27,359758.3435,6311.549885964912,677.531,15908.443500000001,Gdańsk,Standard,2022-02-14 17:38:01.081081081,3.0357142857142856,327,2
K000084,58,2023-01-02,2023-06-22,343716.139,5926.140327586208,112.784,13341.468,Kraków,Standard,2022-02-15 06:43:36.216216216,3.0,320,7
K000085,48,2023-01-02,2023-06-28,321895.2915,6706.15190625,122.61,18150.6735,Kraków,Standard,2022-02-15 19:49:11.351351351,3.765957446808511,320,1
K000086,47,2023-01-06,2023-06-26,292813.299,6230.070191489362,146.02,16193.614,Łódź,Standard,2022-02-16 08:54:46.486486486,3.717391304347826,323,3
K000087,45,2023-01-04,2023-06-26,258028.138,5733.958622222222,596.0250000000001,17183.230000000003,Warszawa,Premium,2022-02-16 22:00:21.621621621,3.9318181818181817,321,3
K000088,56,2023-01-03,2023-06-24,369743.69800000003,6602.566035714286,20.04,16619.332000000002,Gdańsk,Standard,2022-02-17 11:05:56.756756756,3.1272727272727274,319,5
K000089,53,2023-01-01,2023-06-28,292398.7375,5516.957311320754,262.836,19395.775999999998,Gdańsk,Standard,2022-02-18 00:11:31.891891891,3.423076923076923,316,1
K000090,62,2023-01-08,2023-06-29,400702.6215,6462.945508064517,1110.8899999999999,15921.14,Łódź,VIP,2022-02-18 13:17:07.027027027,2.819672131147541,323,0
K000091,51,2023-01-10,2023-06-20,326339.32,6398.8101960784315,27.054,16583.943,Wrocław,Standard,2022-02-19 02:22:42.162162162,3.22,324,9
K000092,50,2023-01-01,2023-06-26,285580.457,5711.60914,108.234,14692.020499999999,Wrocław,Standard,2022-02-19 15:28:17.297297297,3.5918367346938775,315,3
K000093,45,2023-01-02,2023-06-26,250595.9605,5568.799122222222,409.0455,19223.27,Szczecin,VIP,2022-02-20 04:33:52.432432432,3.977272727272727,315,3
K000094,55,2023-01-02,2023-06-17,335497.343,6099.951690909091,448.551,15935.509,Warszawa,Standard,2022-02-20 17:39:27.567567567,3.074074074074074,315,12
K000095,58,2023-01-01,2023-06-27,355761.2425,6133.814525862069,160.41,14433.345,Warszawa,Standard,2022-02-21 06:45:02.702702702,3.1052631578947367,313,2
K000096,51,2023-01-01,2023-06-28,304141.7395,5963.563519607844,226.3,14197.053,Poznań,Standard,2022-02-21 19:50:37.837837837,3.56,313,1
K000097,55,2023-01-02,2023-06-27,347767.664,6323.048436363636,377.5405,17669.25,Łódź,Standard,2022-02-22 08:56:12.972972973,3.259259259259259,313,2
K000098,48,2023-01-04,2023-06-26,280455.7295,5842.827697916667,163.19,15398.81,Wrocław,Standard,2022-02-22 22:01:48.108108108,3.6808510638297873,315,3
K000099,48,2023-01-04,2023-06-23,244706.0045,5098.041760416667,120.21,12410.841,Kraków,Standard,2022-02-23 11:07:23.243243243,3.617021276595745,314,6
K000100,46,2023-01-01,2023-06-28,269250.6705,5853.275445652174,626.48,16087.206,Gdańsk,Standard,2022-02-24 00:12:58.378378378,3.9555555555555557,310,1
K000101,47,2023-01-03,2023-06-26,359983.04850000003,7659.213797872341,1317.279,18109.915,Warszawa,Standard,2022-02-24 13:18:33.513513513,3.782608695652174,312,3
K000102,59,2023-01-01,2023-06-27,386274.1175,6547.018940677966,30.06,14654.283,Gdańsk,VIP,2022-02-25 02:24:08.648648648,3.0517241379310347,309,2
K000103,40,2023-01-07,2023-06-23,256131.044,6403.2761,34.19,16389.5195,Gdańsk,Premium,2022-02-25 15:29:43.783783784,4.282051282051282,315,6
K000104,43,2023-01-17,2023-06-24,239586.434,5571.777534883721,160.41,16169.7,Poznań,Standard,2022-02-26 04:35:18.918918919,3.761904761904762,324,5
K000105,60,2023-01-02,2023-06-27,377257.141,6287.6190166666665,733.88,16730.370000000003,Wrocław,Standard,2022-02-26 17:40:54.054054054,2.983050847457627,309,2
K000106,35,2023-01-02,2023-06-12,203772.539,5822.072542857142,264.45,15347.322,Warszawa,Standard,2022-02-27 06:46:29.189189189,4.735294117647059,308,17
K000107,59,2023-01-09,2023-06-29,378099.691,6408.469338983051,413.24,20523.8,Gdańsk,Standard,2022-02-27 19:52:04.324324324,2.9482758620689653,315,0
K000108,53,2023-01-14,2023-06-25,318415.2445,6007.834801886792,626.48,16945.7195,Warszawa,Standard,2022-02-28 08:57:39.459459459,3.1153846153846154,319,4
K000109,61,2023-01-09,2023-06-23,469191.8875,7691.670286885246,538.0,19815.04,Kraków,Standard,2022-02-28 22:03:14.594594594,2.75,314,6
K000110,42,2023-01-05,2023-06-17,237763.7435,5661.041511904762,30.06,16171.426500000001,Poznań,Premium,2022-03-01 11:08:49.729729729,3.975609756097561,309,12
K000111,46,2023-01-05,2023-06-23,293644.301,6383.571760869565,235.47,13547.7515,Kraków,Standard,2022-03-02 00:14:24.864864865,3.7555555555555555,308,6
K000112,50,2023-01-07,2023-06-28,287079.7635,5741.59527,220.75,14719.516,Warszawa,Standard,2022-03-02 13:20:00.000000000,3.510204081632653,310,1
K000113,60,2023-01-05,2023-06-26,349017.735,5816.96225,642.03,14998.956,Szczecin,Standard,2022-03-03 02:25:35.135135135,2.9152542372881354,307,3
K000114,51,2023-01-03,2023-06-26,310684.7495,6091.857833333333,272.11,14991.385,Warszawa,Standard,2022-03-03 15:31:10.270270270,3.48,305,3
K000115,50,2023-01-03,2023-06-15,315397.2705,6307.945409999999,10.02,17524.8885,Wrocław,Premium,2022-03-04 04:36:45.405405405,3.326530612244898,304,14
K000116,56,2023-01-02,2023-06-29,266089.753,4751.602732142857,32.72,12590.308,Gdańsk,Premium,2022-03-04 17:42:20.540540540,3.2363636363636363,303,0
K000117,42,2023-01-08,2023-06-29,209740.637,4993.82469047619,193.21,11806.259,Gdańsk,Premium,2022-03-05 06:47:55.675675675,4.195121951219512,308,0
K000118,50,2023-01-09,2023-06-23,311426.2545,6228.525089999999,326.38,17887.64,Kraków,Standard,2022-03-05 19:53:30.810810811,3.36734693877551,309,6
K000119,46,2023-01-04,2023-06-28,251852.5405,5475.05522826087,214.01,14055.612,Poznań,Standard,2022-03-06 08:59:05.945945946,3.888888888888889,303,1
K000120,53,2023-01-01,2023-06-29,352863.217,6657.796547169812,322.97,16735.7385,Szczecin,Standard,2022-03-06 22:04:41.081081081,3.4423076923076925,300,0
K000121,48,2023-01-06,2023-06-29,307560.0595,6407.501239583333,60.13,13801.89,Łódź,Standard,2022-03-07 11:10:16.216216216,3.702127659574468,304,0
K000122,51,2023-01-03,2023-06-29,298438.3185,5851.731735294117,68.38,17116.839,Gdańsk,Standard,2022-03-08 00:15:51.351351351,3.54,300,0
K000123,60,2023-01-01,2023-06-28,401204.554,6686.742566666667,849.72,15495.779999999999,Wrocław,Premium,2022-03-08 13:21:26.486486486,3.016949152542373,298,1
K000124,54,2023-01-03,2023-06-26,297251.1135,5504.65025,789.6700000000001,13041.0595,Kraków,Standard,2022-03-09 02:27:01.621621621,3.2830188679245285,299,3
K000125,45,2023-01-02,2023-06-29,230408.2315,5120.182922222222,144.10899999999998,15337.8275,Kraków,Standard,2022-03-09 15:32:36.756756756,4.045454545454546,298,0
K000126,64,2023-01-03,2023-06-29,358908.859,5607.950921875,441.5,16233.145499999999,Łódź,Standard,2022-03-10 04:38:11.891891892,2.8095238095238093,298,0
K000127,40,2023-01-03,2023-06-29,275570.7695,6889.2692375,595.156,17405.010000000002,Wrocław,Standard,2022-03-10 17:43:47.027027027,4.538461538461538,298,0
K000128,42,2023-01-10,2023-06-28,226883.33550000002,5401.984178571429,326.38,11594.9825,Poznań,Standard,2022-03-11 06:49:22.162162162,4.121951219512195,304,1
K000129,37,2023-01-10,2023-06-28,230396.97400000002,6226.945243243244,169.54,16139.071,Wrocław,VIP,2022-03-11 19:54:57.297297297,4.694444444444445,304,1
K000130,50,2023-01-04,2023-06-23,313144.88550000003,6262.897710000001,214.5575,18339.352,Poznań,Premium,2022-03-12 09:00:32.432432432,3.4693877551020407,297,6
K000131,50,2023-01-13,2023-06-23,284587.263,5691.74526,60.13,14002.166,Wrocław,VIP,2022-03-12 22:06:07.567567567,3.2857142857142856,306,6
K000132,52,2023-01-03,2023-06-25,284086.547,5463.202826923078,20.04,18030.713,Wrocław,Standard,2022-03-13 11:11:42.702702702,3.392156862745098,295,4
K000133,59,2023-01-06,2023-06-20,320538.2745,5432.852110169491,517.009,12594.406500000001,Warszawa,Standard,2022-03-14 00:17:17.837837838,2.8448275862068964,297,9
K000134,45,2023-01-08,2023-06-23,319473.85599999997,7099.419022222221,152.58599999999998,18039.751,Kraków,Standard,2022-03-14 13:22:52.972972973,3.772727272727273,299,6
K000135,44,2023-01-04,2023-06-26,288555.245,6558.07375,603.2800000000001,13335.46,Wrocław,Standard,2022-03-15 02:28:28.108108108,4.023255813953488,294,3
K000136,48,2023-01-04,2023-06-19,287364.952,5986.769833333333,180.39,14260.2935,Łódź,Premium,2022-03-15 15:34:03.243243243,3.5319148936170213,294,10
K000137,50,2023-01-06,2023-06-29,300574.385,6011.487700000001,113.15,16001.707,Wrocław,Standard,2022-03-16 04:39:38.378378378,3.5510204081632653,295,0
K000138,55,2023-01-10,2023-06-28,361874.62450000003,6579.538627272728,704.7600000000001,15374.899000000001,Gdańsk,Standard,2022-03-16 17:45:13.513513513,3.1296296296296298,299,1
K000139,42,2023-01-01,2023-06-22,263813.376,6281.270857142857,288.66,17739.12,Kraków,Standard,2022-03-17 06:50:48.648648648,4.195121951219512,289,7
K000140,48,2023-01-06,2023-06-28,260896.6005,5435.34584375,564.115,13662.981,Gdańsk,Standard,2022-03-17 19:56:23.783783783,3.6808510638297873,294,1
K000141,55,2023-01-09,2023-06-28,332987.3065,6054.314663636364,158.95000000000002,16123.192500000001,Kraków,Premium,2022-03-18 09:01:58.918918919,3.1481481481481484,296,1
K000142,48,2023-01-03,2023-06-25,312233.677,6504.868270833334,24.567,14131.52,Gdańsk,Standard,2022-03-18 22:07:34.054054054,3.6808510638297873,290,4
K000143,54,2023-01-02,2023-06-29,320738.7935,5939.607287037037,339.45000000000005,16673.25,Wrocław,Standard,2022-03-19 11:13:09.189189189,3.358490566037736,288,0
K000144,47,2023-01-01,2023-06-25,247094.8035,5257.336244680851,782.748,14633.749,Wrocław,Standard,2022-03-20 00:18:44.324324324,3.8043478260869565,286,4
K000145,46,2023-01-03,2023-06-29,277796.324,6039.050521739131,615.36,15365.6035,Warszawa,Standard,2022-03-20 13:24:19.459459459,3.933333333333333,288,0
K000146,53,2023-01-05,2023-06-27,305151.5175,5757.575801886793,367.83,13588.468499999999,Łódź,Premium,2022-03-21 02:29:54.594594594,3.326923076923077,289,2
K000147,54,2023-01-02,2023-06-28,280698.8885,5198.127564814815,794.7,14517.470000000001,Gdańsk,Premium,2022-03-21 15:35:29.729729729,3.339622641509434,286,1
K000148,52,2023-01-01,2023-06-29,325451.8775,6258.689951923077,12.93,17893.671,Poznań,VIP,2022-03-22 04:41:04.864864865,3.5098039215686274,284,0
K000149,64,2023-01-02,2023-06-22,380533.025,5945.828515625,64.961,14374.268,Warszawa,Premium,2022-03-22 17:46:40.000000000,2.7142857142857144,285,7
K000150,43,2023-01-08,2023-06-22,268471.383,6243.52053488372,30.06,15747.9955,Gdańsk,Standard,2022-03-23 06:52:15.135135135,3.9285714285714284,290,7
K000151,44,2023-01-02,2023-06-21,208439.3135,4737.257125,555.4,19756.7235,Gdańsk,Standard,2022-03-23 19:57:50.270270270,3.953488372093023,284,8
K000152,52,2023-01-05,2023-06-25,370129.0305,7117.865971153846,226.3,16699.305,Warszawa,Standard,2022-03-24 09:03:25.405405405,3.3529411764705883,286,4
K000153,50,2023-01-01,2023-06-16,275619.48350000003,5512.3896700000005,390.9915,16213.424,Wrocław,Standard,2022-03-24 22:09:00.540540540,3.3877551020408165,282,13
K000154,66,2023-01-08,2023-06-26,397121.994,6016.99990909091,339.45000000000005,17134.909,Gdańsk,Premium,2022-03-25 11:14:35.675675675,2.6,288,3
K000155,50,2023-01-12,2023-06-28,309737.733,6194.7546600000005,32.72,14784.64,Wrocław,Standard,2022-03-26 00:20:10.810810810,3.4081632653061225,291,1
K000156,54,2023-01-01,2023-06-27,310384.55700000003,5747.862166666667,201.824,13661.632,Warszawa,VIP,2022-03-26 13:25:45.945945946,3.339622641509434,280,2
K000157,45,2023-01-01,2023-06-26,281457.969,6254.621533333333,1268.24,14209.0845,Wrocław,Standard,2022-03-27 02:31:21.081081081,4.0,279,3
K000158,47,2023-01-04,2023-06-23,266075.019,5661.170617021276,816.33,13692.128,Kraków,Standard,2022-03-27 15:36:56.216216216,3.6956521739130435,282,6
K000159,48,2023-01-05,2023-06-27,315980.3095,6582.923114583333,445.1035,15330.039999999999,Poznań,Standard,2022-03-28 04:42:31.351351351,3.6808510638297873,282,2
K000160,43,2023-01-02,2023-06-29,259903.463,6044.266581395349,440.61300000000006,15410.859,Szczecin,Premium,2022-03-28 17:48:06.486486486,4.238095238095238,279,0
K000161,62,2023-01-02,2023-06-29,363974.155,5870.550887096774,188.84,15166.691499999999,Gdańsk,Standard,2022-03-29 06:53:41.621621621,2.918032786885246,278,0
K000162,59,2023-01-02,2023-06-27,359371.01,6091.0340677966105,529.92,16269.6885,Łódź,Standard,2022-03-29 19:59:16.756756756,3.0344827586206895,278,2
K000163,50,2023-01-02,2023-06-28,283468.3915,5669.36783,120.21,14624.382,Poznań,Standard,2022-03-30 09:04:51.891891892,3.6122448979591835,277,1
K000164,44,2023-01-01,2023-06-18,284186.525,6458.784659090909,318.11,16661.294,Szczecin,Standard,2022-03-30 22:10:27.027027027,3.9069767441860463,276,11
K000165,38,2023-01-03,2023-06-27,233008.77,6131.809736842105,338.46,14675.130000000001,Wrocław,Standard,2022-03-31 11:16:02.162162162,4.72972972972973,277,2
