,Akamai Cloud Computing,Amazon Web Services (AWS),VMware Cloud,Alibaba Cloud,Baidu AI Cloud,Salesforce Cloud,DigitalOcean,Fastly Edge Cloud,Google Cloud Platform (GCP),IBM Cloud,MongoDB Atlas,Microsoft Azure,Cloudflare,Oracle Cloud,Rackspace Technology,SAP Cloud Platform,Snowflake Data Cloud,Tencent Cloud,Twilio Cloud Communications,Workday Cloud Platform
MongoDB Atlas,0.818244322904346,0.7238226711651419,0.399411378627475,-0.30091856791245747,-0.2934515778649466,0.7402179418696493,0.6798626525878846,0.1570886942909303,0.733471799824251,0.2896989654579819,1.0,0.7441200972653629,0.7399948945683057,0.5245311823544171,0.21322415118365462,0.31635912832086116,0.6422334438164601,0.27034178168891015,0.4608866622635459,0.8364254093504517
Microsoft Azure,0.5977938513442823,0.9540874646758843,0.9015583971479918,-0.09749097575592922,0.17450627765666096,0.9421122822387151,-0.12175234898768597,-0.3850060717064216,0.9843694568359077,0.7575925768382953,0.7441200972653629,1.0,0.6100915848769841,0.9515124371233078,-0.6470912550778882,0.9060745243525722,-0.3802850067747921,0.7345974227056622,0.20377939783690133,0.9018340048234866
Cloudflare,0.3815549111307517,0.7256394568998612,0.4490808693433311,-0.22135573753508866,0.14876771863431187,0.7282245878885113,0.7747534440966743,-0.0032189519569085184,0.7346666449478889,0.41274001012124983,0.7399948945683057,0.6100915848769841,1.0,0.51417369107556,0.14840967729091226,0.43074195381994385,0.568298756181314,0.2719085353433304,0.3321075870746755,0.765938191302286
Oracle Cloud,0.5932659723392748,0.9087171527771876,0.9658759069980102,-0.22301088429928181,0.2395456935815375,0.9117831177277372,-0.21828531042602103,-0.4688259872531592,0.9574499755163209,0.8768293151862496,0.5245311823544171,0.9515124371233078,0.51417369107556,1.0,-0.6383864652894014,0.9507257080690407,-0.4638638351651215,0.638477831980078,0.018776628946644933,0.7944883577751164
Rackspace Technology,0.47342221738277296,0.12660138052191205,-0.6098597793146094,0.8817750731795684,0.7600135318215294,-0.021502208591831013,0.5788565866236265,0.8706047061014204,-0.44956349527476797,-0.6108048975100611,0.21322415118365462,-0.6470912550778882,0.14840967729091226,-0.6383864652894014,1.0,-0.37033191149939143,0.7476911629415249,0.7816120954623627,0.9410298474770364,0.14730489126079482
SAP Cloud Platform,0.6086770288901528,0.9337383557098384,0.9211597120513979,0.07253475363048098,0.31643239279641566,0.93914698698607,-0.13987195523813958,-0.222647534289686,0.9246608050275342,0.8899189708254364,0.31635912832086116,0.9060745243525722,0.43074195381994385,0.9507257080690407,-0.37033191149939143,1.0,-0.2752793670589264,0.7573092421378917,0.11617714980391748,0.8064558483903143
Snowflake Data Cloud,0.5455832017701795,0.21219246397184688,-0.4749304409306277,0.634383164605264,0.5817777821637503,0.21044664272031,0.8553246226797492,0.7226818607969026,-0.19480294347705654,-0.5111531181440714,0.6422334438164601,-0.3802850067747921,0.568298756181314,-0.4638638351651215,0.7476911629415249,-0.2752793670589264,1.0,0.5476265201712214,0.82561314020651,0.44250123558698556
Tencent Cloud,0.8452069557714432,0.8839207247903934,0.557756363546183,0.6997061926730562,0.24729012476932102,0.8666677516577425,0.3784785839110184,0.7550403476738937,0.7703551500329913,0.33347490669275576,0.27034178168891015,0.7345974227056622,0.2719085353433304,0.638477831980078,0.7816120954623627,0.7573092421378917,0.5476265201712214,1.0,0.7799644141649973,0.8117829848113799
Twilio Cloud Communications,0.6097690920097719,0.5313871514950657,-0.06336970970213573,0.6089213398274179,0.0882739843979739,0.4784705330676566,0.6694859718647517,0.8380251786280627,0.243111530926813,-0.1736008668890847,0.4608866622635459,0.20377939783690133,0.3321075870746755,0.018776628946644933,0.9410298474770364,0.11617714980391748,0.82561314020651,0.7799644141649973,1.0,0.5539890770180798
Workday Cloud Platform,0.884338409105461,0.9455546817347371,0.722103481456881,0.2365641993723017,-0.2964976198396143,0.9621773066059365,0.39011752738386785,0.1635649721463967,0.8949986337313613,0.49316178055097903,0.8364254093504517,0.9018340048234866,0.765938191302286,0.7944883577751164,0.14730489126079482,0.8064558483903143,0.44250123558698556,0.8117829848113799,0.5539890770180798,1.0
