,Akamai Cloud Computing,Amazon Web Services (AWS),VMware Cloud,Alibaba Cloud,Baidu AI Cloud,Salesforce Cloud,DigitalOcean,Fastly Edge Cloud,Google Cloud Platform (GCP),IBM Cloud,MongoDB Atlas,Microsoft Azure,Cloudflare,Oracle Cloud,Rackspace Technology,SAP Cloud Platform,Snowflake Data Cloud,Tencent Cloud,Twilio Cloud Communications,Workday Cloud Platform
MongoDB Atlas,0.8182681244308225,0.7223649233642816,0.3967656729898102,-0.30043989769040486,-0.2923563730096662,0.7391199111771424,0.680394480768398,0.1583152350212407,0.7317544037931499,0.286391215479839,1.0,0.7424092125764697,0.7369696459123403,0.5227982530628338,0.21524996005601985,0.3130414478829141,0.6425651220739582,0.2696012779374562,0.4610414972233644,0.8356465366318286
Microsoft Azure,0.5975263601867169,0.9541532521338799,0.9015238604234359,-0.09776919804948198,0.17386105591535753,0.9421550167642513,-0.12312995732145104,-0.3858689848645584,0.9844000570543726,0.7582051503122214,0.7424092125764697,1.0,0.610646684060437,0.9516173873317714,-0.6476505477293741,0.9061889126419391,-0.38111540270099975,0.7349047667614643,0.20316853054237619,0.9018496794183222
Cloudflare,0.37717563951707445,0.7259708088852308,0.4501382892756552,-0.22170242263646223,0.14701603121728513,0.7284106640043008,0.7726787608771328,-0.004393620208442367,0.7350258940155583,0.4139094516274442,0.7369696459123403,0.610646684060437,1.0,0.5149141604899483,0.1470490106850108,0.4318303996740101,0.5667373687734377,0.2725268347556519,0.3310629668310436,0.765885488371388
Oracle Cloud,0.5929183986928417,0.9088543058565413,0.9657851730492434,-0.22315025891401175,0.23871486806433767,0.9118333101714328,-0.21956816804390558,-0.46961551836926596,0.957526358027073,0.8771420401100803,0.5227982530628338,0.9516173873317714,0.5149141604899483,1.0,-0.638980615628485,0.9507606968295856,-0.46460271327119834,0.6389328778111508,0.018274693293281276,0.7945821192967286
Rackspace Technology,0.4745920411308925,0.1252092996127636,-0.6105812996764627,0.8814311909072611,0.7604174528533602,-0.022200493197384548,0.5794547482608012,0.8707754339660196,-0.4503996015468947,-0.6111966350083169,0.21524996005601985,-0.6476505477293741,0.1470490106850108,-0.638980615628485,1.0,-0.37200996851134627,0.7479952754523337,0.779897237785992,0.9409838210954637,0.14694499004411918
SAP Cloud Platform,0.6078239821510362,0.9335784139737632,0.921588756198526,0.07154353165528696,0.3148748569888567,0.938698942953139,-0.1428621702534411,-0.22467648068790996,0.9245651400903104,0.890355894297834,0.3130414478829141,0.9061889126419391,0.4318303996740101,0.9507606968295856,-0.37200996851134627,1.0,-0.2769967880277147,0.7571132385967928,0.1148356148979769,0.8057437134311142
Snowflake Data Cloud,0.5460269457742204,0.2108909635782066,-0.4758095339414122,0.6342526962948983,0.5823744602562348,0.20967660067027497,0.85545620586362,0.7229999271886031,-0.19584646379533718,-0.5116626789211569,0.6425651220739582,-0.38111540270099975,0.5667373687734377,-0.46460271327119834,0.7479952754523337,-0.2769967880277147,1.0,0.5463248660781316,0.8257054540041865,0.44205907100807984
Tencent Cloud,0.844897940887824,0.8840388221455425,0.5582890808496611,0.6990856301774768,0.24613879755976015,0.8668079893216374,0.37601550665631567,0.7534822780957482,0.7706104746385035,0.3347841570253288,0.2696012779374562,0.7349047667614643,0.2725268347556519,0.6389328778111508,0.779897237785992,0.7571132385967928,0.5463248660781316,1.0,0.779284694194416,0.811947115459996
Twilio Cloud Communications,0.6098115213960854,0.5306179652455772,-0.06389524406169865,0.6089676055426169,0.08858562276108439,0.4779087094646853,0.6695648773324734,0.8380862952596776,0.24244504646353118,-0.17370342815424739,0.4610414972233644,0.20316853054237619,0.3310629668310436,0.018274693293281276,0.9409838210954637,0.1148356148979769,0.8257054540041865,0.779284694194416,1.0,0.5535734284766326
Workday Cloud Platform,0.8838660665260913,0.9455721294985677,0.7219682580988646,0.2362406748326376,-0.297237057980718,0.9622001507537425,0.38952181515439344,0.1629721133099924,0.8950201114911015,0.4934376515966494,0.8356465366318286,0.9018496794183222,0.765885488371388,0.7945821192967286,0.14694499004411918,0.8057437134311142,0.44205907100807984,0.811947115459996,0.5535734284766326,1.0
